Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
SRI , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 721.88 , 711.842 , 1.39056 , 1.963 , 3.322 , 4 , 709 , 12.88 , 12.88 , 12.88 , 721.88 , 721.88 , 0 , 407 , 299 , 0.512688 , 0 , 0 , 6 , 0 , 0.065105 , 609 , 0.529991 , 55 , 0.060272 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 721.88 , 714.507 , 1.02141 , 1.85 , 2.815 , 4 , 709 , 12.88 , 12.88 , 12.88 , 721.88 , 721.88 , 0 , 235 , 168 , 0.441892 , 0 , 0 , 3 , 0 , 0.03765 , 609 , 0.52166 , 39 , 0.037166 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 721.88 , 714.507 , 1.02141 , 2.711 , 3.674 , 4 , 709 , 12.88 , 12.88 , 12.88 , 721.88 , 721.88 , 0 , 235 , 168 , 0.441001 , 0 , 0 , 3 , 0 , 0.037628 , 609 , 1.33019 , 39 , 0.037585 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 673.36 , 653.667 , 2.92464 , 0.024 , 2.809 , 4 , 670 , 3.36 , 3.36 , 3.36 , 673.36 , 673.36 , 0 , 1206 , 450 , 0.332805 , 0 , 0 , 12 , 46 , 0.212185 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 673.36 , 662.756 , 1.57474 , 0.735 , 1.895 , 4 , 670 , 3.36 , 3.36 , 3.36 , 673.36 , 673.36 , 0 , 204 , 158 , 0.271928 , 0 , 0 , 4 , 0 , 0.047619 , 326 , 0.244085 , 14 , 0.036464 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 673.36 , 667.144 , 0.923089 , 0.779 , 1.395 , 4 , 670 , 3.36 , 3.36 , 3.36 , 673.36 , 673.36 , 0 , 67 , 137 , 0.238039 , 0 , 0 , 2 , 0 , 0.016737 , 326 , 0.243671 , 14 , 0.01912 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 673.36 , 667.201 , 0.91468 , 3.161 , 3.857 , 4 , 670 , 3.36 , 3.36 , 3.36 , 673.36 , 673.36 , 0 , 231 , 147 , 0.333099 , 0 , 0 , 0 , 0 , 0.031652 , 329 , 2.57866 , 9 , 0.034483 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_2.svrp , 631.48 , 626.646 , 0.76554 , 0.018 , 0.189 , 4 , 626 , 5.48 , 5.48 , 6.28 , 631.48 , 631.48 , 0 , 10 , 86 , 0.015004 , 0 , 0 , 5 , 19 , 0.030273 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_2.svrp , 631.48 , 627.595 , 0.615221 , 0.1 , 0.297 , 4 , 626 , 5.48 , 5.48 , 6.28 , 631.48 , 631.48 , 0 , 29 , 114 , 0.024486 , 0 , 0 , 3 , 0 , 0.017837 , 9 , 0.009894 , 20 , 0.016719 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_2.svrp , 631.48 , 628.14 , 0.528916 , 0.105 , 0.279 , 4 , 626 , 5.48 , 5.48 , 6.28 , 631.48 , 631.48 , 0 , 10 , 97 , 0.021825 , 0 , 0 , 1 , 0 , 0.011251 , 9 , 0.009921 , 12 , 0.012469 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_2.svrp , 631.48 , 628.7 , 0.440236 , 1.28 , 1.452 , 4 , 626 , 5.48 , 5.48 , 6.28 , 631.48 , 631.48 , 0 , 7 , 93 , 0.03561 , 0 , 0 , 0 , 0 , 0.016948 , 23 , 1.10396 , 11 , 0.017474 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_3.svrp , 702.4 , 672.5 , 4.25683 , 0.018 , 3.279 , 4 , 673 , 29.4 , 29.4 , 29.52 , 702.4 , 702.4 , 0 , 1313 , 645 , 0.34164 , 0 , 0 , 34 , 44 , 0.226501 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_3.svrp , 702.4 , 679.976 , 3.19251 , 0.198 , 2.625 , 4 , 673 , 29.4 , 29.4 , 29.52 , 702.4 , 702.4 , 0 , 956 , 477 , 0.325758 , 0 , 0 , 11 , 0 , 0.12824 , 111 , 0.044411 , 34 , 0.102661 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_3.svrp , 702.4 , 681.08 , 3.03531 , 0.204 , 3.402 , 4 , 673 , 29.4 , 29.4 , 29.52 , 702.4 , 702.4 , 0 , 1160 , 552 , 0.412124 , 0 , 0 , 21 , 0 , 0.138342 , 111 , 0.044397 , 48 , 0.138541 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_3.svrp , 702.4 , 689.9 , 1.77961 , 4.854 , 7.012 , 4 , 673 , 29.4 , 29.4 , 29.52 , 702.4 , 702.4 , 0 , 726 , 457 , 0.587038 , 0 , 0 , 15 , 0 , 0.113742 , 438 , 3.7521 , 16 , 0.079958 , 1 , 0
