Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 609.822 , 604.379 , 0.892582 , 0.202 , 1.158 , 2 , 607.975 , 1.84712 , 1.84712 , 1.84712 , 609.822 , 609.822 , 0 , 251 , 231 , 0.134886 , 0 , 0 , 54 , 0.260281 , 16 , 0.037159 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 609.822 , 604.379 , 0.892582 , 0.193 , 1.16 , 2 , 607.975 , 1.84712 , 1.84712 , 1.84712 , 609.822 , 609.822 , 0 , 251 , 231 , 0.130896 , 0 , 0 , 54 , 0.260446 , 16 , 0.032207 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 675.229 , 663.124 , 1.79277 , 0.019 , 6.075 , 2 , 672.994 , 2.23523 , 2.23523 , 2.23523 , 675.229 , 675.229 , 0 , 681 , 377 , 0.4559 , 0 , 0 , 87 , 1.28085 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 675.229 , 665.173 , 1.48927 , 0.284 , 3.051 , 2 , 672.994 , 2.23523 , 2.23523 , 2.23523 , 675.229 , 675.229 , 0 , 634 , 281 , 0.345477 , 0 , 0 , 56 , 1.30202 , 34 , 0.091185 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 675.229 , 665.252 , 1.47758 , 0.265 , 1.903 , 2 , 672.994 , 2.23523 , 2.23523 , 2.23523 , 675.229 , 675.229 , 0 , 452 , 242 , 0.232164 , 0 , 0 , 28 , 0.703564 , 34 , 0.082016 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 716.402 , 707.798 , 1.20096 , 0.041 , 3.469 , 2 , 710.979 , 5.42303 , 5.42303 , 5.59661 , 716.402 , 716.402 , 0 , 573 , 424 , 0.270284 , 0 , 0 , 124 , 0.981131 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 716.402 , 707.044 , 1.30628 , 0.098 , 1.715 , 2 , 710.979 , 5.42303 , 5.42303 , 5.59661 , 716.402 , 716.402 , 0 , 332 , 247 , 0.143192 , 0 , 0 , 70 , 0.635105 , 6 , 0.018362 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 716.402 , 707.044 , 1.30628 , 0.103 , 1.864 , 2 , 710.979 , 5.42303 , 5.42303 , 5.59661 , 716.402 , 716.402 , 0 , 332 , 247 , 0.154789 , 0 , 0 , 70 , 0.708835 , 6 , 0.019412 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 664.347 , 660.857 , 0.525249 , 0.027 , 0.59 , 2 , 658.706 , 5.64038 , 5.64038 , 5.64038 , 664.347 , 664.347 , 0 , 39 , 121 , 0.04416 , 0 , 0 , 20 , 0.146431 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 664.347 , 654.34 , 1.50618 , 0.27 , 2.374 , 2 , 658.706 , 5.64038 , 5.64038 , 5.64038 , 664.347 , 664.347 , 0 , 586 , 280 , 0.259835 , 0 , 0 , 40 , 0.956803 , 49 , 0.066727 , 0 , 0 , 1
