Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-3.svrp , 3 , 439.02 , 397 , 42.02 , 42.02 , 439.02 , 439.02 , 0 , 414.33 , 5.62389 , 781 , 98 , 0 , 68 , 309 , 0.009 , 1.415 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-4.svrp , 3 , 557.52 , 490 , 67.52 , 67.52 , 557.52 , 557.52 , 0 , 509.845 , 8.55126 , 8328 , 307 , 1791 , 1220 , 0 , 0.036 , 100.745 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-4.svrp , 3 , 557.52 , 490 , 67.52 , 67.52 , 557.52 , 533.5 , 4.30837 , 487.5 , 12.5592 , 55492 , 1005 , 35570 , 0 , 0 , 0.008 , 1800.12 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-4.svrp , 3 , 557.52 , 490 , 67.52 , 67.52 , 557.52 , 557.52 , 0 , 489.28 , 12.2399 , 17408 , 741 , 0 , 0 , 23837 , 0.009 , 26.493 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-4.svrp , 3 , 557.52 , 490 , 67.52 , 67.52 , 557.52 , 557.52 , 0 , 500.9 , 10.1557 , 2684 , 201 , 624 , 156 , 0 , 0.007 , 4.998 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-4.svrp , 3 , 557.52 , 490 , 67.52 , 67.52 , 557.52 , 557.52 , 0 , 501.48 , 10.0517 , 1580 , 198 , 0 , 160 , 1492 , 0.012 , 4.171 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-5.svrp , 3 , 465.76 , 420 , 45.76 , 45.76 , 465.76 , 465.76 , 0 , 442.491 , 4.99587 , 692 , 92 , 212 , 228 , 0 , 0.101 , 5.933 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-5.svrp , 3 , 465.76 , 420 , 45.76 , 45.76 , 465.76 , 465.76 , 0 , 422.06 , 9.38251 , 7659 , 263 , 3359 , 0 , 0 , 0.006 , 17.099 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-5.svrp , 3 , 465.76 , 420 , 45.76 , 45.76 , 465.76 , 465.76 , 0 , 424.14 , 8.93593 , 1084 , 138 , 0 , 0 , 1277 , 0.006 , 0.997 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-5.svrp , 3 , 465.76 , 420 , 45.76 , 45.76 , 465.76 , 465.76 , 0 , 444.78 , 4.50447 , 391 , 60 , 96 , 51 , 0 , 0.022 , 0.716 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-5.svrp , 3 , 465.76 , 420 , 45.76 , 45.76 , 465.76 , 465.76 , 0 , 445.01 , 4.45508 , 143 , 44 , 0 , 57 , 97 , 0.024 , 0.378 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-6.svrp , 3 , 524.84 , 461 , 63.84 , 63.84 , 524.84 , 524.84 , 0 , 479.293 , 8.6782 , 9898 , 553 , 1480 , 2225 , 0 , 0.054 , 68.394 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-6.svrp , 3 , 524.84 , 461 , 63.84 , 63.84 , 524.84 , 508 , 3.2086 , 454.5 , 13.4022 , 73142 , 1453 , 32567 , 0 , 0 , 0.008 , 1800.04 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-6.svrp , 3 , 524.84 , 461 , 63.84 , 63.84 , 524.84 , 524.84 , 0 , 454.5 , 13.4022 , 24412 , 1144 , 0 , 0 , 43693 , 0.008 , 42.618 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-6.svrp , 3 , 524.84 , 461 , 63.84 , 63.84 , 524.84 , 524.84 , 0 , 465.4 , 11.3254 , 2574 , 359 , 472 , 158 , 0 , 0.01 , 3.702 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-6.svrp , 3 , 524.84 , 461 , 63.84 , 63.84 , 524.84 , 524.84 , 0 , 465.4 , 11.3254 , 2235 , 328 , 0 , 134 , 3442 , 0.01 , 3.474 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-7.svrp , 3 , 539.84 , 487 , 52.84 , 52.84 , 539.84 , 539.84 , 0 , 501.04 , 7.18731 , 12955 , 453 , 3096 , 1679 , 0 , 0.035 , 168.99 , 1 , 
