Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_6.svrp , 771.14 , 752.77 , 2.38219 , 60.297 , 1154.51 , 3 , 765 , 6.14 , 6.14 , 6.14 , 771.14 , 771.14 , 0 , 25911 , 5442 , 12.3877 , 1677 , 29.3098 , 0 , 0 , 543 , 51.5051 , 1411 , 13.7383 , 1
ILS+SRI2 , ./data/Jabali/k3/70_3_0.90_1_7.svrp , 819.11 , 796.95 , 2.70536 , 60.395 , 560.513 , 3 , 807 , 12.11 , 11.65 , 12.11 , 819.11 , 819.11 , 0 , 22554 , 3746 , 13.5347 , 793 , 1.81604 , 0 , 0 , 682 , 49.683 , 647 , 12.6891 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_7.svrp , 819.11 , 797.65 , 2.61992 , 60.428 , 721.834 , 3 , 807 , 12.11 , 11.65 , 12.11 , 819.11 , 819.11 , 0 , 26480 , 3494 , 14.8958 , 1008 , 32.6416 , 0 , 0 , 682 , 49.685 , 585 , 14.9784 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_8.svrp , 761.66 , 736.82 , 3.2613 , 0.083 , 109.891 , 3 , 752 , 9.66 , 9.28 , 9.66 , 761.66 , 761.66 , 0 , 10939 , 1180 , 3.56994 , 301 , 0.689514 , 242 , 2.57669 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k3/70_3_0.90_1_8.svrp , 761.66 , 742.11 , 2.56676 , 46.41 , 207.876 , 3 , 752 , 9.66 , 9.28 , 9.66 , 761.66 , 761.66 , 0 , 10429 , 1677 , 4.16409 , 249 , 0.82975 , 0 , 0 , 8 , 46.1171 , 204 , 8.80617 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_8.svrp , 761.66 , 742.11 , 2.56676 , 47.598 , 244.149 , 3 , 752 , 9.66 , 9.28 , 9.66 , 761.66 , 761.66 , 0 , 8643 , 1668 , 3.19057 , 515 , 12.29 , 0 , 0 , 8 , 47.2978 , 278 , 8.06116 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_9.svrp , 771.11 , 761.59 , 1.23458 , 0.177 , 24.723 , 3 , 750 , 21.11 , 20.9 , 21.11 , 771.11 , 771.11 , 0 , 753 , 629 , 0.281578 , 84 , 0.106872 , 48 , 0.217462 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k3/70_3_0.90_1_9.svrp , 771.11 , 762.31 , 1.14121 , 60.189 , 72.146 , 3 , 750 , 21.11 , 20.9 , 21.11 , 771.11 , 771.11 , 0 , 817 , 649 , 4.73433 , 68 , 0.181202 , 0 , 0 , 420 , 54.5156 , 109 , 0.751033 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_9.svrp , 771.11 , 762.31 , 1.14121 , 60.359 , 78.72 , 3 , 750 , 21.11 , 20.9 , 21.11 , 771.11 , 771.11 , 0 , 954 , 681 , 4.80337 , 104 , 2.9668 , 0 , 0 , 420 , 54.6583 , 107 , 0.921515 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 704.88 , 3.75751 , 0.049 , 18.304 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 3572 , 901 , 0.542582 , 130 , 0.302266 , 124 , 0.071569 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 720.39 , 1.63981 , 60.07 , 67.988 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 1469 , 585 , 3.34328 , 99 , 0.119145 , 0 , 0 , 3076 , 14.4521 , 158 , 0.322166 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 720.39 , 1.63981 , 60.086 , 66.066 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 1249 , 515 , 3.22287 , 93 , 0.675435 , 0 , 0 , 3076 , 14.8817 , 133 , 0.214986 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 641.15 , 2.48224 , 0.032 , 3.641 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 1654 , 491 , 0.214289 , 88 , 0.072281 , 87 , 0.024097 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 647.83 , 1.46623 , 60.285 , 66.438 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 1305 , 521 , 2.76576 , 100 , 0.069239 , 0 , 0 , 3203 , 29.9331 , 146 , 0.290585 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 647.83 , 1.46623 , 60.069 , 65.407 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 1448 , 429 , 2.7397 , 92 , 0.562504 , 0 , 0 , 3203 , 29.9795 , 115 , 0.271999 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 684.09 , 1.77895 , 0.026 , 2.742 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 2584 , 272 , 0.203718 , 128 , 0.11689 , 28 , 0.034537 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 693.79 , 0.386228 , 60.127 , 60.638 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 166 , 123 , 1.76984 , 19 , 0.038852 , 0 , 0 , 3102 , 44.3026 , 39 , 0.039413 , 1
