Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14375 , 7.14375 , 7.14375 , 720.362 , 720.362 , 0 , 710.521 , 1.36604 , 1761 , 2526 , 0 , 2302 , 0 , 0 , 4.579 , 150.959 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_3.svrp , 4 , 731.302 , 720.096 , 11.2064 , 11.136 , 11.2051 , 731.302 , 713.073 , 2.49274 , 691.901 , 5.38774 , 19670 , 7071 , 0 , 0 , 1477 , 916 , 0.152 , 600.063 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_3.svrp , 4 , 733.699 , 712.143 , 21.5556 , 21.5481 , 25.4998 , 733.699 , 720.825 , 1.75464 , 699.588 , 4.64919 , 3804 , 2626 , 0 , 1651 , 0 , 0 , 1.925 , 600.034 , 0
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_3.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 714.48 , 1e+102 , 699.622 , 100 , 3794 , 4797 , 0 , 5803 , 0 , 0 , 3.983 , 600.144 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_4.svrp , 4 , 694.883 , 679.605 , 15.2788 , 14.3791 , 15.2787 , 694.883 , 694.883 , 1.39592e-05 , 674.486 , 2.93534 , 489585 , 760 , 0 , 0 , 383 , 191 , 0.036 , 600.012 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_4.svrp , 4 , 693.955 , 676.986 , 16.9695 , 16.9695 , 19.0847 , 693.955 , 693.955 , 0 , 682.916 , 1.5908 , 723 , 295 , 0 , 150 , 0 , 0 , 0.497 , 14.865 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_4.svrp , 4 , 693.955 , 676.986 , 16.9695 , 16.9695 , 19.0847 , 693.955 , 693.955 , 0 , 682.977 , 1.58196 , 2047 , 1988 , 0 , 2216 , 0 , 0 , 1.014 , 194.035 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_5.svrp , 4 , 790.169 , 781.296 , 8.87272 , 8.63139 , 8.87241 , 790.169 , 790.169 , 3.83488e-05 , 768.961 , 2.684 , 227697 , 1857 , 0 , 0 , 554 , 247 , 0.077 , 600.013 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_5.svrp , 4 , 789.928 , 781.296 , 8.63139 , 8.63139 , 8.87241 , 789.928 , 789.928 , 0 , 778.367 , 1.46346 , 545 , 469 , 0 , 157 , 0 , 0 , 1.01 , 24.555 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_5.svrp , 4 , 789.928 , 781.296 , 8.63139 , 8.63139 , 8.87241 , 789.928 , 789.928 , 0 , 778.412 , 1.45778 , 1276 , 1350 , 0 , 1489 , 0 , 0 , 1.638 , 94.215 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_6.svrp , 4 , 775.983 , 758.01 , 17.9737 , 16.8301 , 17.9131 , 775.983 , 765.012 , 1.41383 , 744.143 , 4.10319 , 34925 , 5325 , 0 , 0 , 1976 , 1020 , 0.08 , 600.02 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_6.svrp , 4 , 774.62 , 757.584 , 17.0362 , 17.0362 , 19.6867 , 774.62 , 774.62 , 0 , 754.633 , 2.58034 , 1362 , 983 , 0 , 468 , 0 , 0 , 0.981 , 96.979 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_6.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 768.586 , 1e+102 , 754.635 , 100 , 4192 , 4689 , 0 , 6082 , 0 , 0 , 1.947 , 600.141 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_7.svrp , 4 , 721.309 , 710.33 , 10.9784 , 10.9781 , 10.9781 , 721.309 , 721.309 , 4.26281e-05 , 704.001 , 2.39954 , 259990 , 1865 , 0 , 0 , 443 , 222 , 0.079 , 600.012 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_7.svrp , 4 , 720.496 , 709.36 , 11.1355 , 11.1355 , 12.6737 , 720.496 , 720.496 , 0 , 715.046 , 0.756442 , 1025 , 278 , 0 , 64 , 0 , 0 , 1.81 , 20.445 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_7.svrp , 4 , 720.496 , 709.36 , 11.1355 , 11.1355 , 12.6737 , 720.496 , 720.496 , 0 , 715.075 , 0.752385 , 1218 , 1684 , 0 , 1606 , 0 , 0 , 4.434 , 94.586 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_8.svrp , 4 , 732.757 , 713.918 , 18.8383 , 18.5969 , 18.8383 , 732.757 , 732.757 , 0 , 707.05 , 3.5083 , 117262 , 2747 , 0 , 0 , 789 , 377 , 0.063 , 371.084 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_8.svrp , 4 , 732.515 , 713.918 , 18.5969 , 18.5969 , 18.8383 , 732.515 , 732.515 , 0 , 715.94 , 2.26274 , 1523 , 780 , 0 , 576 , 0 , 0 , 0.909 , 146.758 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_8.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 725.553 , 1e+102 , 715.943 , 100 , 4255 , 4621 , 0 , 6142 , 0 , 0 , 2.234 , 600.067 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_9.svrp , 4 , 745.541 , 723.705 , 21.8359 , 21.5033 , 21.8194 , 745.541 , 726.499 , 2.55413 , 700.203 , 6.08118 , 19693 , 8150 , 0 , 0 , 1172 , 515 , 0.056 , 600.042 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_9.svrp , 4 , 743.592 , 723.921 , 19.671 , 19.671 , 19.9871 , 743.592 , 743.592 , 0 , 718.979 , 3.31004 , 3857 , 1887 , 0 , 1454 , 0 , 0 , 0.843 , 288.77 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_9.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 731.034 , 1e+102 , 719.029 , 100 , 4219 , 5393 , 0 , 6039 , 0 , 0 , 2.361 , 600.017 , 0
