Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 498.8 , 494 , 4.8 , 4.8 , 498.8 , 498.8 , 0 , 490.9 , 1.5838 , 52 , 63 , 0 , 27 , 60 , 43 , 8.886 , 8.944 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0 , 543.517 , 0.81801 , 20 , 157 , 0 , 27 , 4 , 0 , 0.039 , 0.137 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0 , 543.565 , 0.80936 , 14 , 154 , 0 , 20 , 4 , 0 , 0.641 , 0.731 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0 , 543.565 , 0.80936 , 14 , 154 , 0 , 20 , 4 , 0 , 122.876 , 122.961 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 550.8 , 547 , 3.8 , 3.8 , 550.8 , 550.8 , 0 , 549.5 , 0.23602 , 11 , 108 , 0 , 6 , 6 , 0 , 0.02 , 0.064 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 550.8 , 547 , 3.8 , 3.8 , 550.8 , 550.8 , 0 , 549.5 , 0.23602 , 11 , 108 , 0 , 6 , 6 , 0 , 0.426 , 0.47 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 550.8 , 547 , 3.8 , 3.8 , 550.8 , 550.8 , 0 , 549.5 , 0.23602 , 11 , 108 , 0 , 6 , 6 , 0 , 272.698 , 272.742 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573 , 573 , 0 , 0 , 573 , 573 , 0 , 567.5 , 0.95986 , 15 , 134 , 0 , 6 , 7 , 0 , 0.014 , 0.074 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573 , 573 , 0 , 0 , 573 , 573 , 0 , 567.5 , 0.95986 , 15 , 134 , 0 , 6 , 7 , 0 , 0.602 , 0.654 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573 , 573 , 0 , 0 , 573 , 573 , 0 , 567.5 , 0.95986 , 15 , 134 , 0 , 6 , 7 , 0 , 125.254 , 125.306 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 683 , 683 , 0 , 0 , 683 , 683 , 0 , 672.85 , 1.48609 , 171 , 249 , 0 , 37 , 366 , 3 , 0.033 , 0.485 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 683 , 683 , 0 , 0 , 683 , 683 , 0 , 672.85 , 1.48609 , 171 , 249 , 0 , 37 , 366 , 3 , 0.5 , 0.944 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 683 , 683 , 0 , 0 , 683 , 683 , 0 , 672.85 , 1.48609 , 171 , 249 , 0 , 37 , 366 , 3 , 97.214 , 97.656 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 537 , 537 , 0 , 0 , 537 , 537 , 0 , 532.2 , 0.893855 , 30 , 132 , 0 , 8 , 58 , 0 , 0.016 , 0.108 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 537 , 537 , 0 , 0 , 537 , 537 , 0 , 532.2 , 0.893855 , 30 , 132 , 0 , 8 , 58 , 0 , 0.43 , 0.521 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 537 , 537 , 0 , 0 , 537 , 537 , 0 , 532.2 , 0.893855 , 30 , 132 , 0 , 8 , 58 , 0 , 132.369 , 132.456 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 526.2 , 523 , 3.2 , 3.2 , 526.2 , 526.2 , 0 , 521.733 , 0.848853 , 8 , 74 , 0 , 11 , 22 , 1 , 0.016 , 0.061 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 526.2 , 523 , 3.2 , 3.2 , 526.2 , 526.2 , 0 , 521.733 , 0.848853 , 8 , 74 , 0 , 11 , 22 , 1 , 0.466 , 0.51 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 526.2 , 523 , 3.2 , 3.2 , 526.2 , 526.2 , 0 , 521.733 , 0.848853 , 8 , 74 , 0 , 11 , 22 , 1 , 93.276 , 93.321 , 1
