Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_8.svrp , 2 , 613.969 , 609.343 , 4.6259 , 4.6259 , 613.969 , 613.969 , 0 , 610.96 , 0.489968 , 121 , 155 , 0 , 6 , 107 , 87 , 0.166 , 0.569 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_8.svrp , 2 , 613.969 , 609.343 , 4.6259 , 4.6259 , 613.969 , 613.969 , 0 , 610.96 , 0.489968 , 141 , 164 , 0 , 6 , 461 , 362 , 0.166 , 0.706 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_9.svrp , 2 , 667.869 , 664.187 , 3.68177 , 3.68177 , 667.869 , 667.869 , 0 , 655.065 , 1.91709 , 958 , 482 , 0 , 0 , 635 , 495 , 0.052 , 4.841 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_9.svrp , 2 , 667.869 , 664.187 , 3.68177 , 3.68177 , 667.869 , 667.869 , 0 , 655.065 , 1.91709 , 857 , 485 , 0 , 0 , 1690 , 515 , 0.058 , 5.42 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_9.svrp , 2 , 667.869 , 664.187 , 3.68177 , 3.68177 , 667.869 , 667.869 , 0 , 655.385 , 1.86917 , 1701 , 881 , 0 , 2 , 921 , 696 , 0.124 , 14.99 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_9.svrp , 2 , 667.869 , 664.187 , 3.68177 , 3.68177 , 667.869 , 667.869 , 0 , 655.385 , 1.86917 , 1099 , 659 , 0 , 2 , 2488 , 997 , 0.126 , 11.959 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_0.svrp , 2 , 694.91 , 675.688 , 19.2217 , 19.2217 , 694.91 , 694.91 , 0 , 674.474 , 2.9407 , 5617 , 1256 , 0 , 0 , 2133 , 1118 , 0.045 , 25.945 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_0.svrp , 2 , 694.91 , 675.688 , 19.2217 , 19.2217 , 694.91 , 694.91 , 0 , 674.474 , 2.9407 , 6347 , 1302 , 0 , 0 , 8071 , 1667 , 0.049 , 46.196 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_0.svrp , 2 , 694.91 , 675.688 , 19.2217 , 19.2217 , 694.91 , 694.91 , 0 , 681.18 , 1.97574 , 1599 , 489 , 0 , 23 , 390 , 256 , 0.317 , 5.355 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_0.svrp , 2 , 694.91 , 675.688 , 19.2217 , 19.2217 , 694.91 , 694.91 , 0 , 681.18 , 1.97574 , 614 , 344 , 0 , 23 , 721 , 240 , 0.317 , 2.46 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_1.svrp , 2 , 691.645 , 682.616 , 9.02955 , 9.02955 , 691.645 , 691.645 , 0 , 678.238 , 1.93839 , 2026 , 806 , 0 , 0 , 1290 , 982 , 0.047 , 6.9 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_1.svrp , 2 , 691.645 , 682.616 , 9.02955 , 9.02955 , 691.645 , 691.645 , 0 , 678.238 , 1.93839 , 2067 , 807 , 0 , 0 , 4978 , 2595 , 0.049 , 8.617 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_1.svrp , 2 , 691.645 , 682.616 , 9.02955 , 9.02955 , 691.645 , 691.645 , 0 , 679.61 , 1.74005 , 1926 , 976 , 0 , 14 , 908 , 664 , 0.212 , 11.884 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_1.svrp , 2 , 691.645 , 682.616 , 9.02955 , 9.02955 , 691.645 , 691.645 , 0 , 679.61 , 1.74005 , 1895 , 1295 , 0 , 14 , 4505 , 1503 , 0.213 , 26.048 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_2.svrp , 2 , 656.331 , 644.375 , 11.9559 , 11.9559 , 656.331 , 656.331 , 0 , 641.608 , 2.24315 , 3368 , 562 , 0 , 0 , 1388 , 793 , 0.021 , 11.502 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_2.svrp , 2 , 656.331 , 644.375 , 11.9559 , 11.9559 , 656.331 , 656.331 , 0 , 641.608 , 2.24315 , 2920 , 610 , 0 , 0 , 6183 , 1596 , 0.023 , 14.377 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_2.svrp , 2 , 656.331 , 644.375 , 11.9559 , 11.9559 , 656.331 , 656.331 , 0 , 643.98 , 1.88188 , 2097 , 440 , 0 , 2 , 866 , 483 , 0.126 , 7.053 , 1
