Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-53.svrp , 4 , 536.8 , 533 , 3.8 , 3.8 , 536.8 , 536.8 , 0 , 535.429 , 0.255482 , 7 , 175 , 0 , 7 , 10 , 0 , 0.032 , 0.082 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-53.svrp , 4 , 536.8 , 533 , 3.8 , 3.8 , 536.8 , 536.8 , 0 , 535.625 , 0.21889 , 3 , 165 , 0 , 10 , 10 , 0 , 376.177 , 376.222 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-54.svrp , 4 , 603 , 603 , 0 , 0 , 603 , 603 , 0 , 592.955 , 1.66591 , 66 , 156 , 0 , 14 , 58 , 0 , 0.026 , 0.157 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-54.svrp , 4 , 603 , 603 , 0 , 0 , 603 , 603 , 0 , 592.992 , 1.65965 , 162 , 230 , 0 , 28 , 321 , 1 , 364.622 , 365.001 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-55.svrp , 4 , 693 , 693 , 0 , 0 , 693 , 693 , 0 , 678.25 , 2.12843 , 16 , 174 , 0 , 13 , 31 , 0 , 0.032 , 0.129 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-55.svrp , 4 , 693 , 693 , 0 , 0 , 693 , 693 , 0 , 678.25 , 2.12843 , 16 , 174 , 0 , 13 , 31 , 0 , 300.048 , 300.141 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-56.svrp , 5 , 731 , 731 , 0 , 0 , 731 , 731 , 0 , 716 , 2.05198 , 81 , 323 , 0 , 22 , 177 , 0 , 0.034 , 0.311 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-56.svrp , 5 , 731 , 731 , 0 , 0 , 731 , 731 , 0 , 716 , 2.05198 , 81 , 323 , 0 , 22 , 177 , 0 , 300.044 , 300.307 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 664 , 664 , 0 , 0 , 664 , 664 , 0 , 651.036 , 1.95235 , 155 , 324 , 0 , 29 , 370 , 4 , 0.031 , 0.388 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 664 , 664 , 0 , 0 , 664 , 664 , 0 , 651.186 , 1.92988 , 233 , 346 , 0 , 41 , 940 , 17 , 340.393 , 340.998 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-58.svrp , 5 , 612 , 612 , 0 , 0 , 612 , 612 , 0 , 590.5 , 3.51307 , 64 , 267 , 0 , 13 , 208 , 0 , 0.027 , 0.192 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-58.svrp , 5 , 612 , 612 , 0 , 0 , 612 , 612 , 0 , 590.5 , 3.51307 , 64 , 267 , 0 , 13 , 208 , 0 , 300.036 , 300.196 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 701 , 701 , 0 , 0 , 701 , 701 , 0 , 678.745 , 3.17477 , 140 , 356 , 0 , 44 , 313 , 0 , 0.083 , 0.516 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 701 , 701 , 0 , 0 , 701 , 701 , 0 , 678.745 , 3.17473 , 216 , 489 , 0 , 68 , 554 , 8 , 334.62 , 335.276 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-60.svrp , 5 , 702 , 702 , 0 , 0 , 702 , 702 , 0 , 701.25 , 0.106838 , 11 , 260 , 0 , 4 , 18 , 0 , 0.033 , 0.119 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-60.svrp , 5 , 702 , 702 , 0 , 0 , 702 , 702 , 0 , 701.25 , 0.106838 , 11 , 260 , 0 , 4 , 18 , 0 , 300.058 , 300.141 , 1
