Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_9.svrp , 705.65 , 703.302 , 0.332808 , 0.207 , 0.73 , 3 , 701 , 4.65 , 4.17 , 4.65 , 705.65 , 705.65 , 0 , 1 , 181 , 0.028197 , 27 , 0.003732 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_9.svrp , 705.65 , 703.811 , 0.260601 , 0.195 , 0.475 , 3 , 701 , 4.65 , 4.17 , 4.65 , 705.65 , 705.65 , 0 , 1 , 172 , 0.024745 , 2 , 0.000488 , 0 , 5 , 0.005052 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_9.svrp , 705.65 , 704.691 , 0.135916 , 2.86 , 3.342 , 3 , 701 , 4.65 , 4.17 , 4.65 , 705.65 , 705.65 , 0 , 1 , 161 , 0.281235 , 1 , 0.000309 , 0 , 0 , 0 , 61 , 0.296526 , 15 , 0.001478 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.88_1_0.svrp , 783.04 , 758.25 , 3.16587 , 0.089 , 258.321 , 3 , 780 , 3.04 , 3.04 , 3.04 , 783.04 , 783.04 , 0 , 13879 , 2610 , 2.80245 , 2225 , 0.261341 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.88_1_0.svrp , 783.04 , 758.25 , 3.16587 , 0.086 , 411.627 , 3 , 780 , 3.04 , 3.04 , 3.04 , 783.04 , 783.04 , 0 , 18443 , 2816 , 4.08543 , 2675 , 0.298491 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.88_1_0.svrp , 783.04 , 758.58 , 3.12372 , 0.096 , 43.434 , 3 , 780 , 3.04 , 3.04 , 3.04 , 783.04 , 783.04 , 0 , 3574 , 1410 , 1.01441 , 160 , 0.027735 , 0 , 240 , 0.833166 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.88_1_0.svrp , 783.04 , 765.832 , 2.19764 , 9.75 , 55.161 , 3 , 780 , 3.04 , 3.04 , 3.04 , 783.04 , 783.04 , 0 , 2350 , 1226 , 1.41314 , 130 , 0.020387 , 0 , 0 , 0 , 524 , 0.925913 , 258 , 0.53674 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.88_1_1.svrp , 748.68 , 717 , 4.23145 , 0.065 , 1800.12 , 3 , 745 , 3.68 , 3.44 , 3.68 , 748.68 , 736.785 , 1.58883 , 38478 , 8675 , 12.4218 , 5528 , 0.882675 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.88_1_1.svrp , 752.51 , 717 , 4.71887 , 0.068 , 1800.08 , 3 , 748 , 4.51 , 4.01 , 4.51 , 752.51 , 735.5 , 2.26044 , 26588 , 8400 , 9.55592 , 4652 , 0.67606 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.88_1_1.svrp , 747.74 , 717.675 , 4.02078 , 0.095 , 1800.08 , 3 , 744 , 3.74 , 3.58 , 3.74 , 747.74 , 742 , 0.767647 , 30626 , 7816 , 10.2471 , 682 , 0.31974 , 0 , 1142 , 2.81393 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.88_1_1.svrp , 746.1 , 719.537 , 3.56024 , 1.301 , 1182.85 , 3 , 743 , 3.1 , 2.7 , 3.1 , 746.1 , 746.1 , 0 , 29269 , 5911 , 8.98668 , 436 , 0.240748 , 0 , 0 , 0 , 91 , 0.084841 , 960 , 0.828089 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.88_1_2.svrp , 804.27 , 782.5 , 2.7068 , 0.041 , 163.214 , 3 , 798 , 6.27 , 6.09 , 6.27 , 804.27 , 804.27 , 0 , 10111 , 1875 , 1.79526 , 1102 , 0.149402 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.88_1_2.svrp , 804.27 , 782.5 , 2.7068 , 0.041 , 96.588 , 3 , 798 , 6.27 , 6.09 , 6.27 , 804.27 , 804.27 , 0 , 8989 , 1519 , 1.54691 , 1113 , 0.132147 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.88_1_2.svrp , 804.27 , 784.289 , 2.4844 , 0.092 , 124.341 , 3 , 798 , 6.27 , 6.09 , 6.27 , 804.27 , 804.27 , 0 , 6095 , 1727 , 1.94619 , 188 , 0.025449 , 0 , 217 , 1.38389 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.88_1_2.svrp , 804.27 , 787.864 , 2.0398 , 1.946 , 38.298 , 3 , 798 , 6.27 , 6.09 , 6.27 , 804.27 , 804.27 , 0 , 2160 , 1107 , 0.892049 , 95 , 0.016293 , 0 , 0 , 0 , 208 , 0.192238 , 170 , 0.45287 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.88_1_3.svrp , 771.16 , 756.5 , 1.90103 , 0.049 , 19.897 , 3 , 766 , 5.16 , 5.04 , 5.16 , 771.16 , 771.16 , 1.38327e-08 , 3582 , 854 , 0.571819 , 516 , 0.055056 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
