Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-15.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 616.93 , 0.600973 , 6 , 73 , 0 , 11 , 26 , 2 , 0.008 , 0.119 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.925 , 0.762898 , 8 , 58 , 2 , 251 , 0 , 0 , 0.022 , 0.12 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 95 , 101 , 7 , 0 , 0 , 0 , 0.004 , 0.086 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 45 , 91 , 0 , 0 , 155 , 16 , 0.005 , 0.069 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.48 , 0.834595 , 205 , 66 , 2 , 10 , 0 , 0 , 0.009 , 0.643 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.48 , 0.834595 , 12 , 65 , 0 , 10 , 25 , 1 , 0.01 , 0.066 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 617.678 , 0.581361 , 8 , 57 , 1 , 465 , 0 , 0 , 0.029 , 0.162 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 608 , 2.1391 , 50 , 107 , 11 , 0 , 0 , 0 , 0.004 , 0.07 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 608 , 2.1391 , 52 , 97 , 0 , 0 , 165 , 19 , 0.005 , 0.074 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 621.29 , 0 , 1 , 65 , 1 , 12 , 0 , 0 , 0.01 , 0.073 , 1
