Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_8.svrp , 4 , 691.404 , 660.097 , 31.3067 , 30.3545 , 31.3067 , 691.404 , 691.404 , 0 , 659.805 , 4.57024 , 11619 , 1060 , 0 , 0 , 41475 , 4066 , 0.023 , 48.032 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_8.svrp , 4 , 691.404 , 660.097 , 31.3067 , 30.3545 , 31.3067 , 691.404 , 691.404 , 0 , 673.52 , 2.58669 , 1352 , 444 , 0 , 86 , 4907 , 343 , 0.334 , 3.913 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_9.svrp , 4 , 686.018 , 670.65 , 15.3681 , 14.6538 , 15.3681 , 686.018 , 686.018 , 0 , 660.253 , 3.75567 , 9386 , 1702 , 0 , 0 , 34800 , 15524 , 0.034 , 59.584 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_9.svrp , 4 , 686.018 , 670.65 , 15.3681 , 14.6538 , 15.3681 , 686.018 , 686.018 , 0 , 674.278 , 1.71133 , 949 , 543 , 0 , 192 , 4319 , 1866 , 0.655 , 4.676 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_0.svrp , 4 , 748.357 , 735.799 , 12.5571 , 11.1553 , 12.5571 , 748.357 , 748.357 , 0 , 727.204 , 2.82653 , 10326 , 2309 , 0 , 0 , 39092 , 7016 , 0.069 , 109.009 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_0.svrp , 4 , 748.357 , 735.799 , 12.5571 , 11.1553 , 12.5571 , 748.357 , 748.357 , 0 , 734.836 , 1.80675 , 856 , 611 , 0 , 118 , 2521 , 1400 , 0.896 , 6.411 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_1.svrp , 4 , 789.618 , 767.515 , 22.1035 , 19.7817 , 22.1035 , 789.618 , 754.508 , 4.44644 , 736.04 , 6.78537 , 10334 , 7360 , 0 , 2950 , 24507 , 4431 , 1.243 , 600.054 , 0
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14375 , 7.14375 , 7.14375 , 720.362 , 720.362 , 0 , 701.836 , 2.57174 , 2072 , 1418 , 0 , 0 , 6737 , 2121 , 0.078 , 18.97 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14375 , 7.14375 , 7.14375 , 720.362 , 720.362 , 0 , 710.471 , 1.37301 , 370 , 711 , 0 , 184 , 749 , 188 , 1.771 , 5.252 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_3.svrp , 4 , 735.437 , 721.796 , 13.6407 , 13.3099 , 13.6407 , 735.437 , 712.498 , 3.11909 , 691.901 , 5.91966 , 16402 , 7635 , 0 , 0 , 59745 , 24024 , 0.152 , 600.04 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_3.svrp , 4 , 728.211 , 722.25 , 5.96087 , 5.96087 , 5.96087 , 728.211 , 728.211 , 0 , 699.606 , 3.92809 , 5772 , 2757 , 0 , 577 , 7141 , 1779 , 2.179 , 112.139 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_4.svrp , 4 , 694.883 , 679.605 , 15.2787 , 14.3791 , 15.2787 , 694.883 , 694.883 , 0 , 674.738 , 2.89904 , 4735 , 901 , 0 , 0 , 13614 , 1570 , 0.039 , 20.47 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_4.svrp , 4 , 694.883 , 679.605 , 15.2787 , 14.3791 , 15.2787 , 694.883 , 694.883 , 0 , 682.916 , 1.7222 , 1027 , 764 , 0 , 315 , 6712 , 512 , 0.502 , 9.404 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_5.svrp , 4 , 790.169 , 781.296 , 8.87241 , 8.63139 , 8.87241 , 790.169 , 790.169 , 0 , 768.961 , 2.68396 , 10463 , 1752 , 0 , 0 , 26506 , 3878 , 0.071 , 68.3 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_5.svrp , 4 , 790.169 , 781.296 , 8.87241 , 8.63139 , 8.87241 , 790.169 , 790.169 , 0 , 778.367 , 1.49352 , 1377 , 649 , 0 , 80 , 3585 , 1565 , 1.019 , 6.945 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_6.svrp , 4 , 775.923 , 758.01 , 17.9131 , 16.8301 , 17.9131 , 775.923 , 775.923 , 0 , 754.633 , 2.74385 , 3440 , 1459 , 0 , 371 , 12351 , 1854 , 1.004 , 29.47 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_7.svrp , 4 , 721.309 , 710.33 , 10.9781 , 10.9781 , 10.9781 , 721.309 , 721.309 , 0 , 704.057 , 2.39173 , 7732 , 1396 , 0 , 0 , 20402 , 4887 , 0.067 , 43.985 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_7.svrp , 4 , 721.309 , 710.33 , 10.9781 , 10.9781 , 10.9781 , 721.309 , 721.309 , 0 , 715.046 , 0.868285 , 200 , 301 , 0 , 74 , 372 , 244 , 1.853 , 2.709 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_8.svrp , 4 , 732.757 , 713.918 , 18.8383 , 18.5969 , 18.8383 , 732.757 , 732.757 , 0 , 707.05 , 3.5083 , 12477 , 2419 , 0 , 0 , 56557 , 5421 , 0.074 , 119.319 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_8.svrp , 4 , 732.757 , 713.918 , 18.8383 , 18.5969 , 18.8383 , 732.757 , 732.757 , 0 , 715.94 , 2.29494 , 3446 , 1375 , 0 , 301 , 15301 , 1041 , 0.912 , 31.021 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_9.svrp , 4 , 748.041 , 735.502 , 12.5388 , 12.3573 , 12.5388 , 748.041 , 725.905 , 2.95916 , 700.203 , 6.3951 , 17639 , 8046 , 0 , 0 , 79002 , 9467 , 0.056 , 600.06 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_9.svrp , 4 , 743.908 , 723.921 , 19.9871 , 19.671 , 19.9871 , 743.908 , 743.908 , 0 , 719.067 , 3.33928 , 6352 , 2755 , 0 , 817 , 16688 , 3136 , 0.881 , 78.991 , 1
