Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_3.svrp , 4 , 728.211 , 722.25 , 5.96087 , 5.96087 , 5.96087 , 728.211 , 728.211 , 0 , 699.596 , 3.92949 , 7170 , 2812 , 0 , 628 , 8993 , 1528 , 1.811 , 152.614 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_4.svrp , 4 , 694.883 , 679.605 , 15.2787 , 14.3791 , 15.2787 , 694.883 , 694.883 , 0 , 674.738 , 2.89904 , 4735 , 901 , 0 , 0 , 13614 , 1570 , 0.039 , 20.53 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_4.svrp , 4 , 694.883 , 679.605 , 15.2787 , 14.3791 , 15.2787 , 694.883 , 694.883 , 0 , 682.916 , 1.7222 , 1027 , 764 , 0 , 315 , 6712 , 512 , 0.508 , 9.313 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_5.svrp , 4 , 790.169 , 781.296 , 8.87241 , 8.63139 , 8.87241 , 790.169 , 790.169 , 0 , 768.961 , 2.68396 , 10463 , 1752 , 0 , 0 , 26506 , 3878 , 0.07 , 68.764 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_5.svrp , 4 , 790.169 , 781.296 , 8.87241 , 8.63139 , 8.87241 , 790.169 , 790.169 , 0 , 778.367 , 1.49352 , 1377 , 649 , 0 , 80 , 3585 , 1565 , 1.02 , 6.892 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_6.svrp , 4 , 775.976 , 759.506 , 16.47 , 15.387 , 16.47 , 775.976 , 765.919 , 1.29601 , 744.143 , 4.10229 , 37723 , 4199 , 0 , 0 , 212382 , 31036 , 0.1 , 600.026 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_6.svrp , 4 , 775.923 , 758.01 , 17.9131 , 16.8301 , 17.9131 , 775.923 , 775.923 , 0 , 754.633 , 2.74385 , 3950 , 1819 , 0 , 459 , 16172 , 2703 , 1.03 , 40.678 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_7.svrp , 4 , 721.309 , 710.33 , 10.9781 , 10.9781 , 10.9781 , 721.309 , 721.309 , 0 , 704.057 , 2.39173 , 7732 , 1396 , 0 , 0 , 20402 , 4887 , 0.066 , 44.12 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_7.svrp , 4 , 721.309 , 710.33 , 10.9781 , 10.9781 , 10.9781 , 721.309 , 721.309 , 0 , 715.046 , 0.868285 , 200 , 301 , 0 , 74 , 372 , 244 , 1.858 , 2.72 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_8.svrp , 4 , 732.757 , 713.918 , 18.8383 , 18.5969 , 18.8383 , 732.757 , 732.757 , 0 , 707.05 , 3.5083 , 12477 , 2419 , 0 , 0 , 56557 , 5421 , 0.073 , 119.728 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_8.svrp , 4 , 732.757 , 713.918 , 18.8383 , 18.5969 , 18.8383 , 732.757 , 732.757 , 0 , 715.94 , 2.29494 , 3446 , 1375 , 0 , 301 , 15301 , 1041 , 0.919 , 31.083 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_9.svrp , 4 , 748.041 , 735.502 , 12.5388 , 12.3573 , 12.5388 , 748.041 , 725.79 , 2.9746 , 700.203 , 6.3951 , 17141 , 7896 , 0 , 0 , 76672 , 9391 , 0.06 , 600.032 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_9.svrp , 4 , 743.908 , 723.921 , 19.9871 , 19.671 , 19.9871 , 743.908 , 743.908 , 0 , 719.067 , 3.33928 , 7057 , 3100 , 0 , 823 , 20293 , 3424 , 0.874 , 112.077 , 1
