Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI2 , ./data/Jabali/k4/40_4_0.85_1_0.svrp , 733.19 , 723 , 1.38982 , 38.466 , 88.102 , 4 , 711 , 22.19 , 21.37 , 22.19 , 733.19 , 733.19 , 0 , 7703 , 1456 , 2.64377 , 407 , 0.814686 , 0 , 0 , 0 , 893 , 34.1101 , 1283 , 0.658819 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_0.svrp , 733.19 , 723 , 1.38982 , 38.648 , 54.925 , 4 , 711 , 22.19 , 21.37 , 22.19 , 733.19 , 733.19 , 0 , 3376 , 1053 , 1.98138 , 219 , 0.345822 , 0 , 0 , 0 , 893 , 34.2996 , 892 , 1.02519 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_1.svrp , 735.75 , 702.003 , 4.58677 , 0.034 , 17.965 , 4 , 711 , 24.75 , 24.75 , 24.75 , 735.75 , 735.75 , 0 , 6038 , 1281 , 1.07784 , 146 , 0.022337 , 0 , 149 , 0.300504 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_1.svrp , 735.75 , 713.345 , 3.04519 , 64.135 , 87.169 , 4 , 711 , 24.75 , 24.75 , 24.75 , 735.75 , 735.75 , 0 , 2800 , 1354 , 2.39445 , 135 , 0.024616 , 0 , 0 , 0 , 3227 , 26.2951 , 1305 , 0.281159 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_1.svrp , 735.75 , 713.345 , 3.04519 , 70.285 , 103.319 , 4 , 711 , 24.75 , 24.75 , 24.75 , 735.75 , 735.75 , 0 , 3208 , 1572 , 2.61403 , 227 , 0.384023 , 0 , 0 , 0 , 3227 , 26.5787 , 1563 , 0.3211 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_1.svrp , 735.75 , 713.345 , 3.04519 , 70.005 , 87.186 , 4 , 711 , 24.75 , 24.75 , 24.75 , 735.75 , 735.75 , 0 , 2059 , 1219 , 2.30886 , 148 , 0.290325 , 0 , 0 , 0 , 3227 , 26.2501 , 1179 , 0.631997 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_2.svrp , 632.11 , 612.931 , 3.03414 , 0.076 , 3.463 , 4 , 619 , 13.11 , 12.21 , 13.11 , 632.11 , 632.11 , 0 , 533 , 512 , 0.143944 , 46 , 0.00907 , 0 , 47 , 0.009921 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_2.svrp , 632.11 , 619.294 , 2.0275 , 60.124 , 66.405 , 4 , 619 , 13.11 , 12.21 , 13.11 , 632.11 , 632.11 , 0 , 878 , 843 , 3.48368 , 71 , 0.012409 , 0 , 0 , 0 , 4006 , 1.74215 , 581 , 0.088843 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_2.svrp , 632.11 , 619.318 , 2.02371 , 60.087 , 66.683 , 4 , 619 , 13.11 , 12.21 , 13.11 , 632.11 , 632.11 , 0 , 1090 , 848 , 3.64743 , 86 , 0.102326 , 0 , 0 , 0 , 4066 , 1.78873 , 608 , 0.108202 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_2.svrp , 632.11 , 619.365 , 2.01634 , 60.088 , 77.484 , 4 , 619 , 13.11 , 12.21 , 13.11 , 632.11 , 632.11 , 0 , 1123 , 1168 , 3.78018 , 151 , 0.185659 , 0 , 0 , 0 , 4119 , 1.83544 , 963 , 0.388807 , 1
