Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k4/50_4_0.82_1_4.svrp , 757.58 , 728.27 , 3.8689 , 0.052 , 29.177 , 4 , 752 , 5.58 , 5.4 , 5.58 , 757.58 , 757.58 , 0 , 3082 , 1235 , 0.934851 , 121 , 0.033553 , 0 , 99 , 0.068167 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.82_1_4.svrp , 757.58 , 738.823 , 2.47585 , 60.111 , 130.383 , 4 , 752 , 5.58 , 5.4 , 5.58 , 757.58 , 757.58 , 0 , 4229 , 1368 , 5.71943 , 154 , 0.034695 , 0 , 0 , 0 , 3453 , 4.52833 , 1356 , 0.838663 , 1
SRI2 , ./data/Jabali/k4/50_4_0.82_1_4.svrp , 757.58 , 738.823 , 2.47585 , 60.128 , 102.471 , 4 , 752 , 5.58 , 5.4 , 5.58 , 757.58 , 757.58 , 0 , 2186 , 1387 , 5.11166 , 150 , 0.276807 , 0 , 0 , 0 , 3451 , 4.52324 , 1360 , 0.457122 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_4.svrp , 757.58 , 738.823 , 2.47585 , 60.106 , 148.767 , 4 , 752 , 5.58 , 5.4 , 5.58 , 757.58 , 757.58 , 0 , 4777 , 1947 , 6.00324 , 298 , 0.444842 , 0 , 0 , 0 , 3449 , 4.5074 , 1982 , 3.20814 , 1
ILS , ./data/Jabali/k4/50_4_0.82_1_5.svrp , 748.18 , 729.791 , 2.45778 , 0.108 , 6.59 , 4 , 731 , 17.18 , 16.79 , 17.18 , 748.18 , 748.18 , 0 , 1066 , 565 , 0.240981 , 85 , 0.021486 , 0 , 54 , 0.02603 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.82_1_5.svrp , 748.18 , 737.645 , 1.40814 , 60.109 , 70.908 , 4 , 731 , 17.18 , 16.79 , 17.18 , 748.18 , 748.18 , 0 , 1321 , 867 , 4.8401 , 55 , 0.019209 , 0 , 0 , 0 , 3845 , 2.92691 , 624 , 0.237263 , 1
SRI2 , ./data/Jabali/k4/50_4_0.82_1_5.svrp , 748.18 , 737.607 , 1.41314 , 60.088 , 71.749 , 4 , 731 , 17.18 , 16.79 , 17.18 , 748.18 , 748.18 , 0 , 1329 , 801 , 4.84513 , 111 , 0.218788 , 0 , 0 , 0 , 3813 , 2.89087 , 652 , 0.268673 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_5.svrp , 748.18 , 737.647 , 1.40788 , 60.123 , 64.268 , 4 , 731 , 17.18 , 16.79 , 17.18 , 748.18 , 748.18 , 0 , 660 , 680 , 4.73565 , 49 , 0.099962 , 0 , 0 , 0 , 3849 , 2.93271 , 486 , 0.298201 , 1
ILS , ./data/Jabali/k4/50_4_0.82_1_6.svrp , 737.32 , 721.592 , 2.13313 , 0.05 , 3.619 , 4 , 730 , 7.32 , 7.3 , 7.32 , 737.32 , 737.32 , 0 , 578 , 535 , 0.145289 , 82 , 0.015725 , 0 , 74 , 0.015781 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.82_1_6.svrp , 737.32 , 732.419 , 0.664642 , 60.181 , 69.398 , 4 , 730 , 7.32 , 7.3 , 7.32 , 737.32 , 737.32 , 0 , 725 , 751 , 6.23092 , 107 , 0.028164 , 0 , 0 , 0 , 2918 , 11.5586 , 691 , 0.17575 , 1
