Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k3/70_3_0.88_1_9.svrp , 807.24 , 747.545 , 7.39489 , 0.032 , 1000.12 , 3 , 793 , 14.24 , 13.69 , 14.24 , 807.24 , 763.292 , 5.44421 , 13893 , 1376 , 4.29125 , 3194 , 1.21656 , 0 , 2864 , 6.22824 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.88_1_9.svrp , 794.94 , 787.687 , 0.912374 , 59.43 , 65.011 , 3 , 791 , 3.94 , 3.94 , 3.94 , 794.94 , 794.94 , 0 , 1106 , 183 , 0.686013 , 97 , 0.040975 , 0 , 0 , 0 , 609 , 48.6062 , 284 , 0.720934 , 1
SRI2 , ./data/Jabali/k3/70_3_0.88_1_9.svrp , 794.94 , 787.687 , 0.912374 , 59.397 , 102.377 , 3 , 791 , 3.94 , 3.94 , 3.94 , 794.94 , 794.94 , 0 , 4014 , 406 , 1.45819 , 307 , 13.2892 , 0 , 0 , 0 , 609 , 48.7316 , 615 , 2.52885 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.88_1_9.svrp , 794.94 , 787.687 , 0.912374 , 59.379 , 99.713 , 3 , 791 , 3.94 , 3.94 , 3.94 , 794.94 , 794.94 , 0 , 2075 , 293 , 1.01328 , 264 , 12.094 , 0 , 0 , 0 , 609 , 48.7013 , 665 , 4.4513 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_0.svrp , 814.05 , 717.524 , 11.8575 , 0.017 , 1000.1 , 3 , 740 , 74.05 , 70.1 , 74.05 , 814.05 , 752.471 , 7.56449 , 14943 , 1248 , 4.93861 , 3781 , 1.56156 , 0 , 3291 , 6.76432 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_0.svrp , 802.3 , 773.067 , 3.64367 , 60.113 , 1000.14 , 3 , 783 , 19.3 , 17.31 , 19.3 , 802.3 , 790.674 , 1.44909 , 38982 , 968 , 12.3924 , 2221 , 1.02059 , 0 , 0 , 0 , 1887 , 0.904865 , 2218 , 27.0171 , 0
SRI2 , ./data/Jabali/k3/70_3_0.90_1_0.svrp , 818.02 , 773.081 , 5.49361 , 60.23 , 1000.17 , 3 , 803 , 15.02 , 13.18 , 15.02 , 818.02 , 786.783 , 3.81856 , 28173 , 1251 , 7.4759 , 3860 , 202.127 , 0 , 0 , 0 , 1900 , 0.886513 , 2570 , 21.1488 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_0.svrp , 802.3 , 773.082 , 3.64184 , 60.243 , 1000.16 , 3 , 783 , 19.3 , 17.31 , 19.3 , 802.3 , 794.36 , 0.989644 , 54727 , 813 , 17.2982 , 737 , 19.5996 , 0 , 0 , 0 , 1904 , 0.897394 , 2348 , 106.849 , 0
ILS , ./data/Jabali/k3/70_3_0.90_1_1.svrp , 823.31 , 672.5 , 18.3175 , 0.027 , 1000.14 , 3 , 721 , 102.31 , 93.07 , 102.1 , 823.31 , 701.985 , 14.7363 , 14869 , 1018 , 4.1778 , 5095 , 1.89316 , 0 , 3973 , 6.96425 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_1.svrp , 749.94 , 722.149 , 3.70577 , 60.426 , 489.747 , 3 , 742 , 7.94 , 7.94 , 7.94 , 749.94 , 749.94 , 0 , 38164 , 665 , 8.93477 , 923 , 0.403696 , 0 , 0 , 0 , 2208 , 0.761334 , 1356 , 21.8058 , 1
