Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI2 , ./data/Jabali/k4/60_4_0.80_1_9.svrp , 719.54 , 717.078 , 0.342233 , 43.183 , 44.567 , 4 , 708 , 11.54 , 11.5 , 11.54 , 719.54 , 719.54 , 0 , 404 , 423 , 0.490927 , 103 , 0.297667 , 0 , 0 , 0 , 520 , 40.5663 , 241 , 0.118876 , 1
ILS+SRI , ./data/Jabali/k4/60_4_0.80_1_9.svrp , 719.54 , 717.078 , 0.342233 , 43.672 , 45.428 , 4 , 708 , 11.54 , 11.5 , 11.54 , 719.54 , 719.54 , 0 , 443 , 421 , 0.506515 , 109 , 0.329883 , 0 , 0 , 0 , 520 , 40.8153 , 242 , 0.389403 , 1
ILS , ./data/Jabali/k4/60_4_0.82_1_0.svrp , 719.4 , 709.643 , 1.35629 , 0.074 , 1.252 , 4 , 712 , 7.4 , 7.33 , 7.4 , 719.4 , 719.4 , 0 , 107 , 252 , 0.039197 , 56 , 0.016547 , 0 , 33 , 0.01017 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/60_4_0.82_1_0.svrp , 719.4 , 714.947 , 0.618961 , 67.358 , 68.783 , 4 , 712 , 7.4 , 7.33 , 7.4 , 719.4 , 719.4 , 0 , 259 , 325 , 1.46108 , 71 , 0.025899 , 0 , 0 , 0 , 1109 , 61.1289 , 263 , 0.08355 , 1
SRI2 , ./data/Jabali/k4/60_4_0.82_1_0.svrp , 719.4 , 714.947 , 0.618961 , 67.973 , 69.742 , 4 , 712 , 7.4 , 7.33 , 7.4 , 719.4 , 719.4 , 0 , 277 , 368 , 1.47607 , 124 , 0.243797 , 0 , 0 , 0 , 1109 , 61.7565 , 316 , 0.094622 , 1
ILS+SRI , ./data/Jabali/k4/60_4_0.82_1_0.svrp , 719.4 , 714.947 , 0.618961 , 66.474 , 67.564 , 4 , 712 , 7.4 , 7.33 , 7.4 , 719.4 , 719.4 , 0 , 171 , 306 , 1.44688 , 63 , 0.116822 , 0 , 0 , 0 , 1109 , 60.6954 , 226 , 0.138711 , 1
ILS , ./data/Jabali/k4/60_4_0.82_1_1.svrp , 765.87 , 756.6 , 1.21039 , 0.075 , 3.525 , 4 , 756 , 9.87 , 9.47 , 9.87 , 765.87 , 765.87 , 0 , 855 , 374 , 0.131616 , 132 , 0.044392 , 0 , 112 , 0.035342 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/60_4_0.82_1_1.svrp , 765.87 , 761.747 , 0.538292 , 107.955 , 109.824 , 4 , 756 , 9.87 , 9.47 , 9.87 , 765.87 , 765.87 , 0 , 572 , 432 , 1.90112 , 83 , 0.028062 , 0 , 0 , 0 , 1002 , 98.3891 , 346 , 0.155068 , 1
SRI2 , ./data/Jabali/k4/60_4_0.82_1_1.svrp , 765.87 , 761.747 , 0.538292 , 107.812 , 110.109 , 4 , 756 , 9.87 , 9.47 , 9.87 , 765.87 , 765.87 , 0 , 653 , 404 , 1.89722 , 107 , 0.251627 , 0 , 0 , 0 , 1002 , 98.1561 , 355 , 0.153641 , 1
ILS+SRI , ./data/Jabali/k4/60_4_0.82_1_1.svrp , 765.87 , 761.747 , 0.538292 , 108.301 , 111.083 , 4 , 756 , 9.87 , 9.47 , 9.87 , 765.87 , 765.87 , 0 , 734 , 438 , 1.92189 , 103 , 0.235059 , 0 , 0 , 0 , 1002 , 98.5527 , 381 , 0.584786 , 1
ILS , ./data/Jabali/k4/60_4_0.82_1_2.svrp , 745.65 , 726.699 , 2.54152 , 0.137 , 24.567 , 4 , 737 , 8.65 , 8.38 , 8.65 , 745.65 , 745.65 , 0 , 1876 , 1216 , 0.714588 , 152 , 0.035709 , 0 , 131 , 0.293835 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/60_4_0.82_1_2.svrp , 745.65 , 733.548 , 1.62299 , 60.127 , 90.638 , 4 , 737 , 8.65 , 8.38 , 8.65 , 745.65 , 745.65 , 0 , 2300 , 1462 , 2.61759 , 85 , 0.025425 , 0 , 0 , 0 , 2319 , 1.81966 , 1199 , 0.705924 , 1
SRI2 , ./data/Jabali/k4/60_4_0.82_1_2.svrp , 745.65 , 733.548 , 1.62299 , 60.106 , 86.551 , 4 , 737 , 8.65 , 8.38 , 8.65 , 745.65 , 745.65 , 0 , 1772 , 1229 , 2.3864 , 74 , 0.254683 , 0 , 0 , 0 , 2320 , 1.82021 , 1001 , 0.459385 , 1
