Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Node Recourse Cuts , Root Time (s) , Time (s)
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-51.svrp , 4 , 647.06 , 632 , 15.06 , 15.06 , 647.06 , 628 , 2.94563% , 616 , 4.80017% , 11373 , 1489 , 5615 , 0 , 0 , 0.037 , 100.007
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-52.svrp , 4 , 690.94 , 680 , 10.94 , 10.94 , 690.94 , 690.94 , 0% , 675.621 , 2.21715% , 261 , 275 , 180 , 1434 , 0 , 0.527 , 2.503
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-52.svrp , 4 , 690.94 , 680 , 10.94 , 10.94 , 690.94 , 690.94 , 0% , 670 , 3.03065% , 2752 , 513 , 1273 , 0 , 4 , 0.019 , 6.37
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-53.svrp , 4 , 543.56 , 533 , 10.56 , 10.56 , 543.56 , 543.56 , 0% , 536.32 , 1.33196% , 246 , 282 , 1186 , 991 , 0 , 0.819 , 2.126
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-53.svrp , 4 , 543.56 , 533 , 10.56 , 10.56 , 543.56 , 543.56 , 0% , 532.02 , 2.12304% , 3457 , 775 , 948 , 0 , 1 , 0.029 , 6.637
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-54.svrp , 4 , 603.44 , 603 , 0.44 , 0.44 , 603.44 , 603.44 , 0% , 591.347 , 2.00407% , 111 , 192 , 1 , 936 , 0 , 0.407 , 1.978
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-54.svrp , 4 , 603.44 , 603 , 0.44 , 0.44 , 603.44 , 603.44 , 0% , 590 , 2.22723% , 456 , 352 , 26 , 0 , 0 , 0.018 , 0.757
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-55.svrp , 4 , 696.97 , 688 , 8.97 , 8.97 , 696.97 , 696.97 , 0% , 677.7 , 2.76482% , 239 , 416 , 4 , 2042 , 0 , 0.796 , 4.425
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-55.svrp , 4 , 696.97 , 688 , 8.97 , 8.97 , 696.97 , 696.97 , 0% , 672.5 , 3.51091% , 1260 , 383 , 291 , 0 , 0 , 0.026 , 1.614
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-56.svrp , 5 , 732 , 732 , 0 , 0 , 732 , 732 , 0% , 716.14 , 2.16667% , 477 , 642 , 47 , 4610 , 0 , 0.816 , 8.359
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-56.svrp , 5 , 732 , 732 , 0 , 0 , 732 , 732 , 0% , 710.5 , 2.93716% , 1762 , 1041 , 673 , 0 , 2 , 0.028 , 6.755
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 665.08 , 664 , 1.08 , 1.08 , 665.08 , 665.08 , 0% , 649.113 , 2.40071% , 263 , 373 , 34 , 1966 , 0 , 0.54 , 3.301
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 665.08 , 664 , 1.08 , 1.08 , 665.08 , 665.08 , 0% , 643.5 , 3.24472% , 2508 , 912 , 1120 , 0 , 2 , 0.022 , 8.307
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-58.svrp , 5 , 613.06 , 613 , 0.06 , 0.06 , 613.06 , 613.06 , 0% , 589.174 , 3.89615% , 228 , 366 , 90 , 1740 , 0 , 0.433 , 3.278
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-58.svrp , 5 , 613.06 , 613 , 0.06 , 0.06 , 613.06 , 613.06 , 0% , 579 , 5.55574% , 1538 , 498 , 499 , 0 , 0 , 0.017 , 2.268
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 699.26 , 689 , 10.26 , 10.26 , 699.26 , 699.26 , 0% , 674.82 , 3.49512% , 223 , 419 , 70 , 1398 , 0 , 0.759 , 2.727
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 699.26 , 689 , 10.26 , 10.26 , 699.26 , 699.26 , 0% , 670.5 , 4.11292% , 1527 , 1552 , 317 , 0 , 1 , 0.032 , 7.031
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-60.svrp , 5 , 702.01 , 702 , 0.01 , 0.01 , 702.01 , 702.01 , 0% , 702 , 0.00142448% , 2 , 220 , 0 , 393 , 0 , 1.035 , 1.263
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-60.svrp , 5 , 702.01 , 702 , 0.01 , 0.01 , 702.01 , 702.01 , 0% , 701 , 0.143873% , 80 , 242 , 56 , 0 , 0 , 0.036 , 0.288
