Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_7.svrp , 2 , 674.696 , 669.174 , 5.52134 , 5.52134 , 674.696 , 674.696 , 0 , 661.587 , 1.94283 , 557 , 195 , 0 , 0 , 1398 , 1005 , 0.034 , 1.862 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_7.svrp , 2 , 674.696 , 669.174 , 5.52141 , 5.52134 , 674.696 , 674.696 , 1.00697e-05 , 663.628 , 1.64037 , 1483115 , 385 , 0 , 5 , 298 , 83 , 0.135 , 1800.04 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_7.svrp , 2 , 674.696 , 669.174 , 5.52134 , 5.52134 , 674.696 , 674.696 , 0 , 663.628 , 1.64036 , 859 , 347 , 0 , 5 , 1617 , 572 , 0.141 , 4.15 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_8.svrp , 2 , 612.515 , 607.975 , 4.54058 , 4.54058 , 612.515 , 612.515 , 0 , 602.68 , 1.60577 , 15444 , 314 , 0 , 0 , 630 , 116 , 0.041 , 21.605 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_8.svrp , 2 , 612.515 , 607.975 , 4.54058 , 4.54058 , 612.515 , 612.515 , 0 , 602.68 , 1.60577 , 2083 , 363 , 0 , 0 , 4857 , 2781 , 0.056 , 9.172 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_8.svrp , 2 , 612.515 , 607.975 , 4.54058 , 4.54058 , 612.515 , 612.515 , 0 , 605.964 , 1.06959 , 16191 , 294 , 0 , 12 , 142 , 59 , 0.273 , 16.91 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_8.svrp , 2 , 612.515 , 607.975 , 4.54058 , 4.54058 , 612.515 , 612.515 , 0 , 605.964 , 1.06959 , 847 , 342 , 0 , 12 , 2358 , 1190 , 0.278 , 4.864 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_9.svrp , 2 , 677.742 , 672.994 , 4.7473 , 4.7473 , 677.742 , 677.742 , 0 , 661.442 , 2.40505 , 69785 , 438 , 0 , 0 , 176 , 70 , 0.015 , 86.595 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_9.svrp , 2 , 677.742 , 672.994 , 4.7473 , 4.7473 , 677.742 , 677.742 , 0 , 661.442 , 2.40505 , 1405 , 643 , 0 , 0 , 2384 , 662 , 0.018 , 9.073 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_9.svrp , 2 , 677.742 , 672.994 , 4.7473 , 4.7473 , 677.742 , 677.742 , 6.04948e-08 , 663.913 , 2.04037 , 5136 , 684 , 0 , 11 , 245 , 116 , 0.308 , 19.174 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_9.svrp , 2 , 677.742 , 672.994 , 4.7473 , 4.7473 , 677.742 , 677.742 , 0 , 663.913 , 2.04037 , 1068 , 622 , 0 , 11 , 1638 , 379 , 0.309 , 8.01 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_0.svrp , 2 , 715.893 , 710.979 , 4.91447 , 4.91447 , 715.893 , 715.893 , 0 , 706.391 , 1.3273 , 1058 , 307 , 0 , 0 , 129 , 65 , 0.02 , 2.14 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_0.svrp , 2 , 715.893 , 710.979 , 4.91447 , 4.91447 , 715.893 , 715.893 , 0 , 706.391 , 1.3273 , 380 , 359 , 0 , 0 , 1092 , 795 , 0.022 , 1.588 , 1
