Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_2.svrp , 687.08 , 679.1 , 1.16144 , 0.217 , 8.407 , 2 , 684 , 3.08 , 3.08 , 3.84 , 687.08 , 687.08 , 0 , 572 , 558 , 0.256383 , 0 , 0 , 10 , 0 , 0.261739 , 14 , 0.025808 , 51 , 0.250229 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_3.svrp , 695.88 , 682.08 , 1.9831 , 0.045 , 1.417 , 2 , 689 , 6.88 , 6.88 , 6.96 , 695.88 , 695.88 , 0 , 334 , 267 , 0.142212 , 0 , 0 , 6 , 42 , 0.448748 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_3.svrp , 695.88 , 682.26 , 1.95723 , 0.237 , 2.221 , 2 , 689 , 6.88 , 6.88 , 6.96 , 695.88 , 695.88 , 0 , 477 , 248 , 0.141362 , 0 , 0 , 2 , 0 , 0.49819 , 4 , 0.019537 , 23 , 0.498839 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_4.svrp , 634.56 , 630 , 0.718608 , 0.038 , 0.256 , 2 , 632 , 2.56 , 2.56 , 2.56 , 634.56 , 634.56 , 0 , 1 , 101 , 0.024141 , 0 , 0 , 7 , 2 , 0.061008 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_4.svrp , 634.56 , 630.2 , 0.68709 , 0.22 , 0.859 , 2 , 632 , 2.56 , 2.56 , 2.56 , 634.56 , 634.56 , 0 , 104 , 206 , 0.078368 , 0 , 0 , 8 , 0 , 0.060274 , 2 , 0.011904 , 6 , 0.046379 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_5.svrp , 658.72 , 646.17 , 1.90517 , 0.033 , 2.042 , 2 , 649 , 9.72 , 9.72 , 13.64 , 658.72 , 658.72 , 0 , 571 , 169 , 0.109122 , 0 , 0 , 68 , 10 , 1.13853 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_5.svrp , 658.72 , 649.9 , 1.33896 , 0.503 , 0.815 , 2 , 649 , 9.72 , 9.72 , 13.64 , 658.72 , 658.72 , 0 , 11 , 82 , 0.05833 , 0 , 0 , 1 , 0 , 0.067294 , 92 , 0.186308 , 0 , 0.057305 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_6.svrp , 673.36 , 657.16 , 2.40585 , 0.067 , 6.944 , 2 , 671 , 2.36 , 2.36 , 2.64 , 673.36 , 673.36 , 0 , 1090 , 593 , 0.376087 , 0 , 0 , 74 , 42 , 1.66863 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_6.svrp , 673.36 , 658.94 , 2.1415 , 0.352 , 3.07 , 2 , 671 , 2.36 , 2.36 , 2.64 , 673.36 , 673.36 , 0 , 454 , 429 , 0.2203 , 0 , 0 , 44 , 0 , 0.667659 , 65 , 0.076097 , 33 , 0.470837 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_7.svrp , 609.08 , 605 , 0.669863 , 0.068 , 0.871 , 2 , 604 , 5.08 , 5.08 , 5.08 , 609.08 , 609.08 , 0 , 131 , 179 , 0.05582 , 0 , 0 , 27 , 10 , 0.208669 , 0 , 0 , 0 , 0 , 1 , 0
