Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR+Parada+SRI+Lagrangian , ./data/Jabali/k3/60_3_0.88_1_5.svrp , 727.36 , 712.766 , 2.0064 , 0.846 , 12.886 , 3 , 725 , 2.36 , 2.24 , 2.36 , 727.36 , 727.36 , 0 , 1039 , 678 , 0.772922 , 8 , 0.128849 , 4 , 0 , 0.427198 , 153 , 0.323109 , 53 , 0.427228 , 1 , 0
PR , ./data/Jabali/k3/60_3_0.88_1_6.svrp , 719.28 , 690.25 , 4.03598 , 0.075 , 600.015 , 3 , 708 , 11.28 , 10.84 , 11.28 , 719.28 , 710.333 , 1.24384 , 42487 , 5939 , 13.1195 , 3492 , 8.26762 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+Parada , ./data/Jabali/k3/60_3_0.88_1_6.svrp , 715.56 , 690.25 , 3.53709 , 0.076 , 267.027 , 3 , 715 , 0.56 , 0.56 , 0.56 , 715.56 , 715.56 , 0 , 16671 , 4720 , 7.57318 , 43 , 2.04027 , 112 , 513 , 6.78978 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k3/60_3_0.88_1_6.svrp , 715.56 , 695.02 , 2.87048 , 0.547 , 140.399 , 3 , 715 , 0.56 , 0.56 , 0.56 , 715.56 , 715.56 , 0 , 8162 , 3123 , 4.04992 , 74 , 0.978073 , 44 , 0 , 3.17293 , 114 , 0.110403 , 271 , 3.09196 , 1 , 0
PR , ./data/Jabali/k3/60_3_0.88_1_7.svrp , 740 , 726.5 , 1.82432 , 0.081 , 17.804 , 3 , 729 , 11 , 8.64 , 11 , 740 , 740 , 0 , 4894 , 883 , 1.07465 , 541 , 0.799962 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k3/60_3_0.88_1_7.svrp , 740 , 726.5 , 1.82432 , 0.079 , 6.296 , 3 , 729 , 11 , 8.64 , 11 , 740 , 740 , 0 , 1147 , 518 , 0.41928 , 53 , 0.183228 , 34 , 34 , 0.725358 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k3/60_3_0.88_1_7.svrp , 740 , 731.106 , 1.2019 , 0.869 , 4.903 , 3 , 729 , 11 , 8.64 , 11 , 740 , 740 , 0 , 497 , 443 , 0.344712 , 24 , 0.071747 , 18 , 0 , 0.360036 , 168 , 0.214201 , 51 , 0.269035 , 1 , 0
PR , ./data/Jabali/k3/60_3_0.88_1_8.svrp , 716.52 , 707.12 , 1.3119 , 0.04 , 1.027 , 3 , 708 , 8.52 , 8.52 , 8.52 , 716.52 , 716.52 , 0 , 714 , 294 , 0.130532 , 51 , 0.105457 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k3/60_3_0.88_1_8.svrp , 716.52 , 707.12 , 1.3119 , 0.04 , 0.366 , 3 , 708 , 8.52 , 8.52 , 8.52 , 716.52 , 716.52 , 0 , 65 , 136 , 0.033675 , 7 , 0.015545 , 2 , 7 , 0.048389 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k3/60_3_0.88_1_8.svrp , 716.52 , 713.94 , 0.360074 , 0.493 , 0.762 , 3 , 708 , 8.52 , 8.52 , 8.52 , 716.52 , 716.52 , 0 , 1 , 151 , 0.056752 , 1 , 0.008317 , 4 , 0 , 0.028588 , 71 , 0.037734 , 2 , 0.021838 , 1 , 0
PR , ./data/Jabali/k3/60_3_0.88_1_9.svrp , 720.96 , 694.5 , 3.67011 , 0.096 , 175.595 , 3 , 715 , 5.96 , 5.48 , 5.96 , 720.96 , 720.96 , 0 , 19259 , 2670 , 4.87556 , 1723 , 3.19662 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k3/60_3_0.88_1_9.svrp , 720.96 , 694.5 , 3.67011 , 0.095 , 96.021 , 3 , 715 , 5.96 , 5.48 , 5.96 , 720.96 , 720.96 , 0 , 7420 , 2131 , 3.28872 , 99 , 0.9745 , 163 , 307 , 3.5271 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k3/60_3_0.88_1_9.svrp , 720.96 , 704.656 , 2.26147 , 1.36 , 53.186 , 3 , 715 , 5.96 , 5.48 , 5.96 , 720.96 , 720.96 , 0 , 3455 , 2067 , 2.0375 , 62 , 0.371565 , 73 , 0 , 1.23128 , 253 , 0.368537 , 228 , 1.22485 , 1 , 0
PR , ./data/Jabali/k3/60_3_0.90_1_0.svrp , 712.24 , 691.667 , 2.88854 , 0.138 , 38.424 , 3 , 695 , 17.24 , 16.48 , 17.24 , 712.24 , 712.24 , 0 , 8205 , 1385 , 2.07515 , 1315 , 1.34284 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k3/60_3_0.90_1_0.svrp , 712.24 , 692.307 , 2.79868 , 0.136 , 43.876 , 3 , 695 , 17.24 , 16.48 , 17.24 , 712.24 , 712.24 , 0 , 4048 , 1645 , 1.3065 , 185 , 0.494853 , 103 , 264 , 4.37351 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k3/60_3_0.90_1_0.svrp , 712.24 , 702.467 , 1.3722 , 1.364 , 11.123 , 3 , 695 , 17.24 , 16.48 , 17.24 , 712.24 , 712.24 , 0 , 2082 , 708 , 0.982823 , 26 , 0.20284 , 21 , 0 , 1.98493 , 255 , 0.324063 , 96 , 1.98723 , 1 , 0
PR , ./data/Jabali/k3/60_3_0.90_1_1.svrp , 721.64 , 696.5 , 3.48373 , 0.08 , 600.017 , 3 , 705 , 16.64 , 16.4 , 16.64 , 721.64 , 714.594 , 0.976422 , 35234 , 3221 , 7.45695 , 10189 , 9.19602 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+Parada , ./data/Jabali/k3/60_3_0.90_1_1.svrp , 721.64 , 697.7 , 3.31744 , 0.086 , 87.328 , 3 , 705 , 16.64 , 16.4 , 16.64 , 721.64 , 721.64 , 0 , 7036 , 1980 , 1.89152 , 415 , 0.926198 , 285 , 460 , 4.55466 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k3/60_3_0.90_1_1.svrp , 721.64 , 702.92 , 2.59409 , 0.791 , 34.675 , 3 , 705 , 16.64 , 16.4 , 16.64 , 721.64 , 721.64 , 0 , 3064 , 1377 , 1.1859 , 133 , 0.377656 , 72 , 0 , 1.48448 , 144 , 0.172718 , 373 , 1.41224 , 1 , 0
PR , ./data/Jabali/k3/60_3_0.90_1_2.svrp , 773.72 , 738 , 4.61666 , 0.079 , 600.037 , 3 , 755 , 18.72 , 15.96 , 18.72 , 773.72 , 764 , 1.25627 , 31851 , 6705 , 9.42283 , 6538 , 6.96025 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+Parada , ./data/Jabali/k3/60_3_0.90_1_2.svrp , 773.72 , 738.84 , 4.50809 , 0.085 , 392.409 , 3 , 755 , 18.72 , 15.96 , 18.72 , 773.72 , 773.72 , 0 , 23888 , 5351 , 8.76618 , 155 , 2.63855 , 175 , 833 , 27.0577 , 0 , 0 , 0 , 0 , 1 , 0
