Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR , ./data/Jabali/k4/40_4_0.85_1_2.svrp , 630.64 , 611.9 , 2.97158 , 0.056 , 4.287 , 4 , 619 , 11.64 , 11.64 , 11.64 , 630.64 , 630.64 , 0 , 1609 , 659 , 0.378032 , 141 , 0.139458 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_2.svrp , 630.64 , 621.027 , 1.52425 , 12.28 , 14.366 , 4 , 619 , 11.64 , 11.64 , 11.64 , 630.64 , 630.64 , 0 , 482 , 334 , 3.21084 , 1 , 0.026138 , 2 , 0 , 0.051964 , 1287 , 4.1688 , 148 , 0.065156 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.85_1_3.svrp , 732 , 692.5 , 5.39617 , 0.046 , 600.009 , 4 , 716 , 16 , 15.32 , 16 , 732 , 727.5 , 0.614754 , 54618 , 4934 , 14.9034 , 1588 , 4.88405 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_3.svrp , 731.76 , 708.525 , 3.17515 , 3.497 , 42.152 , 4 , 716 , 15.76 , 14.84 , 15.76 , 731.76 , 731.76 , 0 , 4348 , 2151 , 2.26635 , 74 , 0.26465 , 47 , 0 , 1.48536 , 621 , 1.07808 , 442 , 1.52429 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 644.16 , 620.778 , 3.62988 , 0.022 , 2.126 , 4 , 619 , 25.16 , 24.8 , 25.16 , 644.16 , 644.16 , 0 , 1476 , 488 , 0.280505 , 100 , 0.099151 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 644.16 , 637.52 , 1.0308 , 0.838 , 3.836 , 4 , 619 , 25.16 , 24.8 , 25.16 , 644.16 , 644.16 , 0 , 638 , 457 , 0.508389 , 11 , 0.056284 , 6 , 0 , 0.13849 , 225 , 0.308169 , 113 , 0.130536 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 721.6 , 704.5 , 2.36973 , 0.023 , 6.003 , 4 , 709 , 12.6 , 12.6 , 12.6 , 721.6 , 721.6 , 0 , 2352 , 582 , 0.382114 , 334 , 0.33037 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 721.6 , 719.415 , 0.302823 , 1.227 , 1.435 , 4 , 709 , 12.6 , 12.6 , 12.6 , 721.6 , 721.6 , 0 , 29 , 133 , 0.392132 , 0 , 0.005666 , 0 , 0 , 0.010031 , 440 , 0.396617 , 63 , 0.010885 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.85_1_6.svrp , 673.92 , 656 , 2.65907 , 0.034 , 6.415 , 4 , 668 , 5.92 , 5.92 , 5.92 , 673.92 , 673.92 , 0 , 3032 , 721 , 0.538379 , 371 , 0.317539 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_6.svrp , 673.92 , 664.48 , 1.40076 , 0.627 , 2.808 , 4 , 668 , 5.92 , 5.92 , 5.92 , 673.92 , 673.92 , 0 , 759 , 479 , 0.293249 , 0 , 0.048729 , 6 , 0 , 0.114428 , 271 , 0.163226 , 136 , 0.122731 , 1 , 0
