Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k2/60_2_0.95_1_1.svrp , 687.89 , 675.4 , 1.8157 , 0.08 , 13.866 , 2 , 677 , 10.89 , 10.89 , 12.2 , 687.89 , 687.89 , 0 , 1488 , 740 , 0.296832 , 297 , 0.935329 , 207 , 0.271084 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.95_1_1.svrp , 687.89 , 678.696 , 1.33657 , 60.307 , 68.566 , 2 , 677 , 10.89 , 10.89 , 12.2 , 687.89 , 687.89 , 0 , 1185 , 616 , 5.65702 , 189 , 0.735259 , 0 , 0 , 589 , 51.5152 , 159 , 0.454335 , 1
SRI* , ./data/Jabali/k2/60_2_0.95_1_1.svrp , 687.89 , 678.586 , 1.35247 , 60.213 , 64.431 , 2 , 677 , 10.89 , 10.89 , 12.2 , 687.89 , 687.89 , 0 , 787 , 535 , 5.32707 , 93 , 0.417783 , 0 , 0 , 591 , 51.6466 , 133 , 0.25714 , 1
ILS , ./data/Jabali/k2/60_2_0.95_1_2.svrp , 652.65 , 643.96 , 1.33149 , 0.031 , 2.028 , 2 , 642 , 10.65 , 10.65 , 11.39 , 652.65 , 652.65 , 0 , 714 , 198 , 0.102051 , 114 , 0.328489 , 53 , 0.107884 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.95_1_2.svrp , 652.65 , 644.616 , 1.231 , 37.651 , 38.785 , 2 , 642 , 10.65 , 10.65 , 11.39 , 652.65 , 652.65 , 0 , 332 , 152 , 0.378989 , 91 , 0.27791 , 0 , 0 , 49 , 37.0135 , 45 , 0.101445 , 1
SRI* , ./data/Jabali/k2/60_2_0.95_1_2.svrp , 652.65 , 644.718 , 1.21539 , 37.109 , 37.986 , 2 , 642 , 10.65 , 10.65 , 11.39 , 652.65 , 652.65 , 0 , 245 , 156 , 0.37203 , 34 , 0.138789 , 0 , 0 , 49 , 36.4686 , 41 , 0.075765 , 1
ILS , ./data/Jabali/k2/60_2_0.95_1_3.svrp , 678.34 , 671.927 , 0.945434 , 0.098 , 0.727 , 2 , 667 , 11.34 , 11.34 , 12.66 , 678.34 , 678.34 , 0 , 131 , 161 , 0.025357 , 27 , 0.095416 , 23 , 0.027 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.95_1_3.svrp , 678.34 , 673.934 , 0.649468 , 42.964 , 43.491 , 2 , 667 , 11.34 , 11.34 , 12.66 , 678.34 , 678.34 , 0 , 89 , 179 , 0.479619 , 15 , 0.065797 , 0 , 0 , 452 , 38.6551 , 35 , 0.04179 , 1
SRI* , ./data/Jabali/k2/60_2_0.95_1_3.svrp , 678.34 , 673.973 , 0.643749 , 43.904 , 44.509 , 2 , 667 , 11.34 , 11.34 , 12.66 , 678.34 , 678.34 , 0 , 48 , 174 , 0.481625 , 15 , 0.074633 , 0 , 0 , 452 , 39.5061 , 35 , 0.034923 , 1
ILS , ./data/Jabali/k2/60_2_0.95_1_4.svrp , 712.85 , 692.2 , 2.89682 , 0.043 , 160.758 , 2 , 697 , 15.85 , 15.85 , 16.49 , 712.85 , 712.85 , 0 , 10506 , 2036 , 1.80298 , 942 , 3.54236 , 549 , 1.70876 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.95_1_4.svrp , 712.85 , 694.869 , 2.52244 , 36.875 , 86.765 , 2 , 697 , 15.85 , 15.85 , 16.49 , 712.85 , 712.85 , 0 , 6339 , 1377 , 1.36744 , 495 , 1.70226 , 0 , 0 , 333 , 33.6529 , 350 , 1.92036 , 1
SRI* , ./data/Jabali/k2/60_2_0.95_1_4.svrp , 712.85 , 694.869 , 2.52244 , 36.885 , 95.626 , 2 , 697 , 15.85 , 15.85 , 16.49 , 712.85 , 712.85 , 0 , 6725 , 1412 , 1.76807 , 288 , 1.44507 , 0 , 0 , 333 , 33.5592 , 300 , 2.17383 , 1
ILS , ./data/Jabali/k2/60_2_0.95_1_5.svrp , 684.37 , 675.135 , 1.34942 , 0.062 , 13.171 , 2 , 669 , 15.37 , 15.37 , 21.02 , 684.37 , 684.37 , 0 , 659 , 481 , 0.173539 , 72 , 0.283453 , 42 , 0.143381 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.95_1_5.svrp , 684.37 , 674.619 , 1.42479 , 60.145 , 63.084 , 2 , 669 , 15.37 , 15.37 , 21.02 , 684.37 , 684.37 , 0 , 382 , 357 , 1.35287 , 28 , 0.163586 , 0 , 0 , 100 , 59.0712 , 24 , 0.165256 , 1
SRI* , ./data/Jabali/k2/60_2_0.95_1_5.svrp , 684.37 , 674.619 , 1.42479 , 60.091 , 62.366 , 2 , 669 , 15.37 , 15.37 , 21.02 , 684.37 , 684.37 , 0 , 284 , 319 , 1.32352 , 18 , 0.110266 , 0 , 0 , 100 , 59.0189 , 27 , 0.118002 , 1
ILS , ./data/Jabali/k2/60_2_0.95_1_6.svrp , 671.19 , 651.131 , 2.98859 , 0.071 , 16.289 , 2 , 657 , 14.19 , 14.19 , 18.15 , 671.19 , 671.19 , 0 , 2193 , 609 , 0.480755 , 219 , 0.805021 , 124 , 0.40784 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.95_1_6.svrp , 671.19 , 656.152 , 2.24045 , 60.078 , 68.432 , 2 , 657 , 14.19 , 14.19 , 18.15 , 671.19 , 671.19 , 0 , 1558 , 498 , 1.67213 , 96 , 0.40898 , 0 , 0 , 731 , 49.6916 , 99 , 0.489066 , 1
