Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 659.9 , 597.179 , 9.50468 , 0.183 , 1800.11 , 3 , 604 , 55.9 , 55.9 , 70.51 , 659.9 , 634 , 3.92484 , 41937 , 686 , 9.74706 , 6783 , 181.585 , 5278 , 6.79054 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 657.81 , 642.212 , 2.37121 , 60.156 , 73.94 , 3 , 605 , 52.81 , 52.81 , 84.1 , 657.81 , 657.75 , 0.00914291 , 4435 , 144 , 0.76581 , 221 , 3.31983 , 0 , 0 , 2811 , 0.512558 , 209 , 0.973381 , 1
SRI , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 657.81 , 642.14 , 2.38213 , 60.039 , 75.669 , 3 , 605 , 52.81 , 52.81 , 84.1 , 657.81 , 657.745 , 0.00986105 , 7357 , 170 , 1.07582 , 114 , 1.84861 , 0 , 0 , 2921 , 0.520736 , 175 , 1.53009 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 671.62 , 622.06 , 7.37911 , 0.02 , 1401.29 , 3 , 634 , 37.62 , 37.62 , 76.34 , 671.62 , 671.56 , 0.00893362 , 50213 , 599 , 9.29173 , 5778 , 195.413 , 4128 , 6.2846 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 671.62 , 664.81 , 1.01389 , 60.197 , 62.04 , 3 , 634 , 37.62 , 37.62 , 76.34 , 671.62 , 671.62 , 0 , 209 , 60 , 0.215075 , 35 , 1.02022 , 0 , 0 , 3427 , 0.324567 , 60 , 0.052918 , 1
SRI , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 671.62 , 665.781 , 0.869374 , 60.074 , 60.93 , 3 , 634 , 37.62 , 37.62 , 76.34 , 671.62 , 671.6 , 0.00297773 , 152 , 62 , 0.203047 , 9 , 0.286864 , 0 , 0 , 3367 , 0.321809 , 40 , 0.039905 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 668.09 , 607.501 , 9.06897 , 0.019 , 1800.12 , 3 , 610 , 58.09 , 58.09 , 64.9 , 668.09 , 639.391 , 4.29571 , 36297 , 782 , 8.83769 , 7005 , 183.518 , 5569 , 6.06204 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 665.48 , 649.494 , 2.40211 , 60.217 , 79.712 , 3 , 650 , 15.48 , 15.48 , 16.33 , 665.48 , 665.419 , 0.00911485 , 6109 , 174 , 1.12024 , 232 , 4.76156 , 0 , 0 , 2822 , 0.386573 , 169 , 1.26742 , 1
SRI , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 665.48 , 648.765 , 2.51169 , 60.182 , 75.783 , 3 , 650 , 15.48 , 15.48 , 16.33 , 665.48 , 665.42 , 0.00901576 , 9208 , 194 , 1.41916 , 58 , 1.17339 , 0 , 0 , 2804 , 0.376995 , 157 , 1.85143 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 691.879 , 5.07388 , 0.031 , 1800.04 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 723.75 , 0.701095 , 73515 , 386 , 13.9544 , 6870 , 111.506 , 6861 , 9.54042 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 724.954 , 0.535875 , 60.064 , 60.641 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 728.86 , 0 , 62 , 47 , 0.153001 , 6 , 0.101941 , 0 , 0 , 2587 , 0.400513 , 37 , 0.021527 , 1
SRI , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 725.179 , 0.50498 , 60.268 , 60.986 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 728.86 , 0 , 61 , 53 , 0.15834 , 6 , 0.088042 , 0 , 0 , 2627 , 0.396853 , 36 , 0.024671 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 704.03 , 604.261 , 14.1711 , 0.01 , 1800.21 , 3 , 595 , 109.03 , 109.03 , 181.36 , 704.03 , 628.534 , 10.7234 , 26879 , 1392 , 4.65363 , 10024 , 504.857 , 3512 , 4.61111 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 657.33 , 642.025 , 2.32836 , 60.098 , 111.141 , 3 , 653 , 4.33 , 4.33 , 5.03 , 657.33 , 657.279 , 0.00771415 , 5900 , 454 , 0.937783 , 400 , 16.9538 , 0 , 0 , 2317 , 0.334957 , 403 , 1.48537 , 1
SRI , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 657.33 , 642.377 , 2.27483 , 60.026 , 86.837 , 3 , 653 , 4.33 , 4.33 , 5.03 , 657.33 , 657.278 , 0.0079207 , 4067 , 312 , 0.785472 , 136 , 5.94921 , 0 , 0 , 2365 , 0.346789 , 200 , 1.01143 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_7.svrp , 709.25 , 645.947 , 8.92541 , 0.184 , 1800.08 , 3 , 668 , 41.25 , 41.25 , 81.42 , 709.25 , 679.24 , 4.23126 , 44053 , 1007 , 10.301 , 7606 , 207.996 , 5439 , 7.22205 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_7.svrp , 700.82 , 682.078 , 2.67428 , 60.079 , 69.495 , 3 , 679 , 21.82 , 21.82 , 55.43 , 700.82 , 700.765 , 0.00784795 , 2866 , 164 , 0.427503 , 132 , 2.91806 , 0 , 0 , 3070 , 0.368956 , 152 , 0.688171 , 1
SRI , ./data/Jabali/k3/50_3_0.85_1_7.svrp , 700.82 , 683.54 , 2.46574 , 60.103 , 65.426 , 3 , 679 , 21.82 , 21.82 , 55.43 , 700.82 , 700.82 , 0 , 2301 , 145 , 0.366946 , 39 , 1.10044 , 0 , 0 , 3343 , 0.381679 , 89 , 0.489564 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_8.svrp , 677.87 , 607.723 , 10.3481 , 0.205 , 1800.09 , 3 , 637 , 40.87 , 40.87 , 58.59 , 677.87 , 648.919 , 4.27083 , 50204 , 1583 , 9.82676 , 8105 , 449.477 , 3095 , 8.38473 , 0 , 0 , 0 , 0 , 0
