Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI , ./data/Jabali/k3/60_3_0.85_1_2.svrp , 726.97 , 717.69 , 1.27647 , 42.439 , 54.225 , 3 , 724 , 2.97 , 2.97 , 3.17 , 726.97 , 726.97 , 0 , 1417 , 785 , 0.796812 , 113 , 0.323906 , 0 , 0 , 373 , 39.4158 , 134 , 0.473998 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_3.svrp , 704.73 , 693.09 , 1.6517 , 0.187 , 83.178 , 3 , 696 , 8.73 , 8.73 , 8.73 , 704.73 , 704.73 , 0 , 3196 , 2029 , 0.790811 , 330 , 1.45384 , 170 , 0.245033 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_3.svrp , 704.73 , 700.987 , 0.531127 , 60.151 , 62.966 , 3 , 696 , 8.73 , 8.73 , 8.73 , 704.73 , 704.73 , 0 , 157 , 446 , 1.20797 , 4 , 0.044419 , 0 , 0 , 3627 , 1.03327 , 37 , 0.054599 , 1
SRI , ./data/Jabali/k3/60_3_0.85_1_3.svrp , 704.73 , 699.98 , 0.674086 , 60.14 , 68.543 , 3 , 696 , 8.73 , 8.73 , 8.73 , 704.73 , 704.73 , 0 , 500 , 703 , 1.30264 , 87 , 0.30172 , 0 , 0 , 3654 , 1.0451 , 127 , 0.186616 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_4.svrp , 726.23 , 720.687 , 0.763221 , 0.043 , 1.271 , 3 , 722 , 4.23 , 4.23 , 4.23 , 726.23 , 726.23 , 0 , 136 , 124 , 0.042202 , 37 , 0.124342 , 25 , 0.013215 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_4.svrp , 726.23 , 720.974 , 0.723801 , 38.585 , 39.508 , 3 , 722 , 4.23 , 4.23 , 4.23 , 726.23 , 726.23 , 0 , 46 , 154 , 0.219578 , 24 , 0.07359 , 0 , 0 , 18 , 38.2541 , 23 , 0.028943 , 1
SRI , ./data/Jabali/k3/60_3_0.85_1_4.svrp , 726.23 , 721.626 , 0.633947 , 39.096 , 39.832 , 3 , 722 , 4.23 , 4.23 , 4.23 , 726.23 , 726.23 , 0 , 65 , 150 , 0.221824 , 14 , 0.068146 , 0 , 0 , 18 , 38.7461 , 14 , 0.028734 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_5.svrp , 739.93 , 724.699 , 2.05838 , 0.139 , 17.626 , 3 , 735 , 4.93 , 4.93 , 5.09 , 739.93 , 739.93 , 0 , 1442 , 692 , 0.48798 , 158 , 0.544506 , 138 , 0.075013 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_5.svrp , 739.93 , 730.123 , 1.3254 , 56.311 , 63.403 , 3 , 735 , 4.93 , 4.93 , 5.09 , 739.93 , 739.93 , 0 , 916 , 453 , 1.03984 , 85 , 0.228419 , 0 , 0 , 824 , 47.5517 , 91 , 0.282584 , 1
SRI , ./data/Jabali/k3/60_3_0.85_1_5.svrp , 739.93 , 730.207 , 1.31401 , 55.226 , 60.098 , 3 , 735 , 4.93 , 4.93 , 5.09 , 739.93 , 739.93 , 0 , 650 , 475 , 0.884255 , 44 , 0.158016 , 0 , 0 , 824 , 46.5787 , 68 , 0.184998 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_6.svrp , 722.54 , 722.24 , 0.0415202 , 0.106 , 0.292 , 3 , 719 , 3.54 , 3.54 , 3.7 , 722.54 , 722.54 , 0 , 1 , 112 , 0.012064 , 3 , 0.008109 , 6 , 0.002582 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_6.svrp , 722.54 , 722.54 , 3.14687e-14 , 8.736 , 8.901 , 3 , 719 , 3.54 , 3.54 , 3.7 , 722.54 , 722.54 , 0 , 1 , 117 , 0.032617 , 0 , 0.001628 , 0 , 0 , 35 , 8.36898 , 8 , 0.002645 , 1
SRI , ./data/Jabali/k3/60_3_0.85_1_6.svrp , 722.54 , 722.54 , 3.14687e-14 , 8.609 , 8.772 , 3 , 719 , 3.54 , 3.54 , 3.7 , 722.54 , 722.54 , 0 , 1 , 117 , 0.032349 , 0 , 0.001616 , 0 , 0 , 35 , 8.2422 , 8 , 0.002611 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_7.svrp , 704.24 , 690.893 , 1.89517 , 0.098 , 10.07 , 3 , 689 , 15.24 , 15.24 , 15.57 , 704.24 , 704.24 , 0 , 1287 , 483 , 0.272337 , 163 , 0.419811 , 124 , 0.054919 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_7.svrp , 704.24 , 694.23 , 1.42141 , 60.133 , 65.701 , 3 , 689 , 15.24 , 15.24 , 15.57 , 704.24 , 704.24 , 0 , 687 , 449 , 1.16686 , 71 , 0.183347 , 0 , 0 , 279 , 58.1973 , 86 , 0.183537 , 1
SRI , ./data/Jabali/k3/60_3_0.85_1_7.svrp , 704.24 , 694.214 , 1.4236 , 60.077 , 76.633 , 3 , 689 , 15.24 , 15.24 , 15.57 , 704.24 , 704.24 , 0 , 936 , 683 , 1.37859 , 87 , 0.296818 , 0 , 0 , 279 , 58.2132 , 111 , 0.361318 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_8.svrp , 755.34 , 742.5 , 1.6999 , 0.051 , 5.7 , 3 , 750 , 5.34 , 5.34 , 5.34 , 755.34 , 755.34 , 0 , 1129 , 338 , 0.232253 , 80 , 0.19673 , 62 , 0.035493 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_8.svrp , 755.34 , 749.474 , 0.776565 , 35.282 , 37.558 , 3 , 750 , 5.34 , 5.34 , 5.34 , 755.34 , 755.34 , 0 , 128 , 207 , 0.149953 , 39 , 0.098539 , 0 , 0 , 45 , 34.9379 , 41 , 0.057241 , 1
