Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.28 , 937.395 , 4.56943 , 0.214 , 305.373 , 7 , 969 , 13.28 , 13.28 , 13.82 , 982.28 , 982.28 , 0 , 10098 , 3842 , 4.66396 , 115 , 0.386582 , 125 , 0.38171 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.28 , 946.766 , 3.6155 , 60.121 , 152.781 , 7 , 969 , 13.28 , 13.28 , 13.82 , 982.28 , 982.28 , 0 , 6548 , 2446 , 6.20745 , 50 , 0.199657 , 0 , 0 , 3650 , 3.41896 , 97 , 0.465588 , 1
SRI , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.28 , 947.277 , 3.56343 , 60.134 , 215.625 , 7 , 969 , 13.28 , 13.28 , 13.82 , 982.28 , 982.28 , 0 , 6626 , 3101 , 6.76878 , 72 , 0.304885 , 0 , 0 , 3798 , 3.72481 , 131 , 0.542904 , 1
ILS , ./data/ccvrp/A-n55-k9-scen-H666.svrp , 1320.61 , 1093.3 , 17.2122 , 0.345 , 1800.17 , 11 , 1194 , 126.61 , 126.61 , 129.2 , 1320.61 , 1127.02 , 14.6591 , 12310 , 13600 , 10.1213 , 537 , 2.2875 , 716 , 0.795042 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/A-n55-k9-scen-H666.svrp , 1305.15 , 1118.43 , 14.3062 , 60.215 , 1800.22 , 11 , 1198 , 107.15 , 107.15 , 113.47 , 1305.15 , 1129.52 , 13.4569 , 12627 , 14119 , 14.7976 , 334 , 1.52245 , 0 , 0 , 3929 , 3.99506 , 538 , 2.03774 , 0
SRI , ./data/ccvrp/A-n55-k9-scen-H666.svrp , 1289.82 , 1116.76 , 13.4174 , 60.3 , 1800.43 , 11 , 1200 , 89.82 , 89.82 , 89.97 , 1289.82 , 1130.71 , 12.3355 , 13565 , 13595 , 16.1001 , 403 , 1.78252 , 0 , 0 , 3712 , 3.78353 , 664 , 2.22419 , 0
ILS , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1151.64 , 1091.86 , 5.19122 , 0.39 , 1800.05 , 11 , 1132 , 19.64 , 19.64 , 19.64 , 1151.64 , 1132.13 , 1.69411 , 31301 , 8986 , 28.4806 , 134 , 1.27653 , 155 , 0.56496 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1146.39 , 1103.1 , 3.77632 , 60.199 , 1800.15 , 11 , 1131 , 15.39 , 15.39 , 15.39 , 1146.39 , 1132.15 , 1.24205 , 23891 , 9191 , 26.598 , 194 , 1.07985 , 0 , 0 , 2909 , 5.45931 , 301 , 3.27563 , 0
SRI , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1146.39 , 1103.65 , 3.72825 , 60.18 , 1800.11 , 11 , 1131 , 15.39 , 15.39 , 15.39 , 1146.39 , 1134.27 , 1.05763 , 33465 , 8546 , 35.9293 , 76 , 1.03542 , 0 , 0 , 2697 , 4.73554 , 167 , 4.32674 , 0
ILS , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 585.08 , 3.97663 , 0.038 , 48.8 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 20769 , 778 , 3.06768 , 301 , 2.32414 , 252 , 0.464907 , 0 , 0 , 0 , 0 , 1
