Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI* , ./data/Jabali/k3/60_3_0.88_1_5.svrp , 726.79 , 710.356 , 2.26112 , 60.117 , 82.109 , 3 , 691 , 35.79 , 35.79 , 65.79 , 726.79 , 726.722 , 0.00935521 , 4571 , 201 , 0.882698 , 128 , 4.28258 , 0 , 0 , 2396 , 0.550874 , 182 , 1.58053 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_6.svrp , 752.79 , 648.667 , 13.8317 , 0.194 , 1800.09 , 3 , 672 , 80.79 , 80.79 , 102.33 , 752.79 , 665.828 , 11.552 , 18245 , 1100 , 5.49704 , 7857 , 363.669 , 5235 , 5.59104 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_6.svrp , 719.16 , 692.642 , 3.68734 , 60.162 , 1800.19 , 3 , 676 , 43.16 , 43.16 , 53.36 , 719.16 , 707.038 , 1.68557 , 109256 , 1443 , 31.5819 , 2108 , 93.2739 , 0 , 0 , 3458 , 0.679245 , 2140 , 44.9496 , 0
SRI* , ./data/Jabali/k3/60_3_0.88_1_6.svrp , 716.54 , 692.889 , 3.30066 , 60.18 , 1339.01 , 3 , 689 , 27.54 , 27.54 , 44.91 , 716.54 , 716.47 , 0.0098228 , 118283 , 1489 , 27.8013 , 659 , 37.7509 , 0 , 0 , 3488 , 0.659002 , 1054 , 39.2136 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_7.svrp , 760.78 , 680 , 10.618 , 0.277 , 1800.19 , 3 , 671 , 89.78 , 89.78 , 141.92 , 760.78 , 704.721 , 7.36867 , 21554 , 1446 , 4.11701 , 8281 , 601.742 , 2885 , 5.95277 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_7.svrp , 736.5 , 729.885 , 0.898232 , 60.182 , 67.755 , 3 , 729 , 7.5 , 7.5 , 8.34 , 736.5 , 736.432 , 0.0092944 , 2331 , 97 , 0.55099 , 131 , 3.45928 , 0 , 0 , 2878 , 0.550505 , 98 , 0.757998 , 1
SRI* , ./data/Jabali/k3/60_3_0.88_1_7.svrp , 736.5 , 729.503 , 0.95007 , 60.122 , 69.605 , 3 , 729 , 7.5 , 7.5 , 8.34 , 736.5 , 736.44 , 0.00814662 , 962 , 173 , 0.438525 , 96 , 2.93198 , 0 , 0 , 2924 , 0.55444 , 132 , 0.412424 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_8.svrp , 717.05 , 691.335 , 3.58623 , 0.066 , 1800.08 , 3 , 687 , 30.05 , 30.05 , 47.11 , 717.05 , 709.787 , 1.01297 , 37425 , 502 , 10.8933 , 5639 , 183.96 , 5211 , 9.0615 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_8.svrp , 717.05 , 714.143 , 0.405348 , 60.15 , 62.55 , 3 , 687 , 30.05 , 30.05 , 47.11 , 717.05 , 717.05 , 0 , 113 , 51 , 0.108247 , 35 , 1.33641 , 0 , 0 , 2554 , 0.490235 , 45 , 0.066821 , 1
SRI* , ./data/Jabali/k3/60_3_0.88_1_8.svrp , 717.05 , 713.541 , 0.489332 , 60.1 , 62.42 , 3 , 687 , 30.05 , 30.05 , 47.11 , 717.05 , 717.05 , 0 , 72 , 52 , 0.110702 , 29 , 1.25748 , 0 , 0 , 2622 , 0.507389 , 36 , 0.049431 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_9.svrp , 762.95 , 650 , 14.8044 , 0.262 , 1800.2 , 3 , 687 , 75.95 , 75.95 , 83.14 , 762.95 , 673.647 , 11.7049 , 17911 , 1256 , 4.14071 , 9194 , 600.395 , 3162 , 5.14945 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_9.svrp , 722.58 , 701.173 , 2.96264 , 60.241 , 408.881 , 3 , 719 , 3.58 , 3.58 , 4.01 , 722.58 , 722.515 , 0.0089461 , 25372 , 636 , 5.0685 , 1508 , 46.1809 , 0 , 0 , 2479 , 0.451458 , 1258 , 9.17502 , 1
SRI* , ./data/Jabali/k3/60_3_0.88_1_9.svrp , 722.58 , 702.936 , 2.71857 , 60.11 , 417.457 , 3 , 719 , 3.58 , 3.58 , 4.01 , 722.58 , 722.508 , 0.00999724 , 35968 , 825 , 9.88416 , 441 , 19.5812 , 0 , 0 , 2515 , 0.453087 , 622 , 13.5868 , 1
ILS , ./data/Jabali/k3/60_3_0.90_1_0.svrp , 719.04 , 648.25 , 9.84507 , 0.074 , 1800.25 , 3 , 667 , 52.04 , 52.04 , 135.97 , 719.04 , 675.383 , 6.07162 , 27431 , 1064 , 7.56389 , 7511 , 330.838 , 4366 , 7.55699 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.90_1_0.svrp , 707.26 , 680.519 , 3.78096 , 60.161 , 174.501 , 3 , 654 , 53.26 , 53.26 , 144.69 , 707.26 , 707.195 , 0.00925438 , 15645 , 361 , 2.89902 , 597 , 28.4103 , 0 , 0 , 2453 , 0.352766 , 356 , 5.22066 , 1
SRI* , ./data/Jabali/k3/60_3_0.90_1_0.svrp , 707.26 , 677.056 , 4.27056 , 60.17 , 100.253 , 3 , 654 , 53.26 , 53.26 , 144.69 , 707.26 , 707.19 , 0.0098973 , 7449 , 311 , 1.43251 , 145 , 7.36957 , 0 , 0 , 2423 , 0.355429 , 182 , 2.49841 , 1
ILS , ./data/Jabali/k3/60_3_0.90_1_1.svrp , 730.07 , 654.463 , 10.3562 , 0.094 , 1800.09 , 3 , 658 , 72.07 , 72.07 , 96.71 , 730.07 , 671.095 , 8.07797 , 28527 , 1074 , 7.25406 , 7247 , 276.302 , 5894 , 8.2961 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.90_1_1.svrp , 712.4 , 693.332 , 2.67654 , 60.493 , 170.9 , 3 , 692 , 20.4 , 20.4 , 53.16 , 712.4 , 712.333 , 0.00941597 , 22721 , 407 , 3.95588 , 635 , 16.851 , 0 , 0 , 2619 , 0.579091 , 551 , 7.56227 , 1
SRI* , ./data/Jabali/k3/60_3_0.90_1_1.svrp , 712.4 , 694.592 , 2.49978 , 60.525 , 116.835 , 3 , 692 , 20.4 , 20.4 , 53.16 , 712.4 , 712.338 , 0.00870288 , 12746 , 431 , 2.33574 , 208 , 7.49926 , 0 , 0 , 2648 , 0.597406 , 289 , 4.50806 , 1
ILS , ./data/Jabali/k3/60_3_0.90_1_2.svrp , 791.98 , 693.088 , 12.4867 , 0.352 , 1800.16 , 3 , 724 , 67.98 , 67.98 , 95.48 , 791.98 , 728.378 , 8.03073 , 20556 , 978 , 4.91755 , 6837 , 324.951 , 4259 , 5.92899 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.90_1_2.svrp , 774.05 , 742.936 , 4.01962 , 60.069 , 1800.16 , 3 , 747 , 27.05 , 27.05 , 46.84 , 774.05 , 765.374 , 1.12089 , 68244 , 977 , 17.1104 , 3066 , 93.1947 , 0 , 0 , 2751 , 0.615205 , 2547 , 28.1723 , 0
SRI* , ./data/Jabali/k3/60_3_0.90_1_2.svrp , 769.56 , 742.952 , 3.45758 , 60.058 , 1800.18 , 3 , 721 , 48.56 , 48.56 , 81.01 , 769.56 , 764.66 , 0.63677 , 91464 , 1018 , 25.4243 , 977 , 27.5247 , 0 , 0 , 2940 , 0.6234 , 1407 , 35.9145 , 0
ILS , ./data/Jabali/k3/60_3_0.90_1_3.svrp , 678.63 , 629.4 , 7.25432 , 0.02 , 1800.17 , 3 , 654 , 24.63 , 24.63 , 45.95 , 678.63 , 652.782 , 3.80892 , 33720 , 1507 , 10.52 , 7699 , 290.403 , 6525 , 9.25202 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.90_1_3.svrp , 673.53 , 666.77 , 1.00364 , 60.146 , 65.409 , 3 , 649 , 24.53 , 24.53 , 41.91 , 673.53 , 673.5 , 0.00445376 , 1544 , 106 , 0.782455 , 82 , 2.43672 , 0 , 0 , 2680 , 0.908201 , 72 , 0.504712 , 1
SRI* , ./data/Jabali/k3/60_3_0.90_1_3.svrp , 673.53 , 666.89 , 0.985843 , 60.14 , 62.7 , 3 , 649 , 24.53 , 24.53 , 41.91 , 673.53 , 673.53 , 0 , 702 , 101 , 0.664461 , 30 , 0.959507 , 0 , 0 , 2670 , 0.901579 , 63 , 0.226147 , 1
